"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","DE","SG","GS","CA","FD","FF","FS","G","I","PI","DS","FC","A","CV","FT","PP","GC","PS","PC"
"57",62114,2,285,"mei","6",0,6.08,0,0.2,1,NA,"taison","Taison","Taison","Taison Barcellos Freda","https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png","Internacional",NA,NA,NA,NA,NA,NA,2,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA
"58",71162,2,354,"mei","3",0,4.62,0,2,1,NA,"vina","Vina","Vina","Vinícius Goes Barbosa de Souza","https://s.glbimg.com/es/sde/f/2022/02/22/7c8dc91a507c2956dc61efbd45bda613_FORMATO.png","Ceará",NA,NA,NA,NA,NA,1,3,NA,NA,12,1,1,NA,1,1,NA,NA,NA,NA
"59",86485,2,282,"ata","5",0,9.25,0,5,1,NA,"keno","Keno","Keno","Marcos da Silva França","https://s.glbimg.com/es/sde/f/2021/05/02/cc190959ce99d1236ff0a230132fb245_FORMATO.png","Atlético-MG",NA,NA,NA,NA,NA,2,1,NA,NA,4,3,1,NA,NA,NA,NA,NA,NA,NA
"60",109497,2,277,"ata","7",4.1,7.26,-0.34,2.8,2,NA,"marcos-leonardo","Marcos Leonardo","M. Leonardo","Marcos Leonardo Santos Almeida","https://s.glbimg.com/es/sde/f/2022/03/03/70c0680cfe4346861b4db5ebeba1fdbd_FORMATO.png","Santos",NA,NA,NA,NA,1,3,6,NA,1,6,1,5,NA,NA,NA,NA,NA,NA,NA
"61",109282,2,266,"ata","7",6.8,5.46,1.76,3.7,2,NA,"luiz-henrique","Luiz Henrique","L. Henrique","Luiz Henrique André Rosa da Silva","https://s.glbimg.com/es/sde/f/2021/08/19/131f19bc697057f38a3c8ec99c785a97_FORMATO.png","Fluminense",NA,NA,NA,NA,NA,3,3,NA,NA,4,4,3,NA,NA,NA,NA,NA,NA,NA
"62",102878,2,293,"mei","7",2.8,7.06,-1.59,1.45,2,NA,"terans","Terans","Terans","Miguel David Terans Pérez  ","https://s.glbimg.com/es/sde/f/2021/06/22/9afbb795a2e1b8ea2d0c84725bf26e2b_FORMATO.png","Athlético-PR",NA,NA,NA,NA,NA,2,1,NA,NA,7,2,3,NA,NA,NA,NA,NA,NA,NA
"63",90031,2,354,"ata","7",3.4,11.69,0.53,6.65,2,NA,"mendoza","Mendoza","Mendoza","John Stiven Mendoza Valencia","https://s.glbimg.com/es/sde/f/2022/02/22/348289b85a309419d827269486e667c9_FORMATO.png","Ceará",NA,NA,NA,1,3,3,4,1,NA,17,1,4,NA,NA,NA,NA,NA,NA,NA
"64",78478,2,262,"mei","7",1,5.15,-0.93,1.6,2,NA,"willian-arao","Willian Arão","W. Arão","Willian Souza Arão da Silva","https://s.glbimg.com/es/sde/f/2021/05/01/5696091eeba19b79c51d753792490f14_FORMATO.png","Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA
"65",95799,2,280,"ata","5",0,7,0,0,0,NA,"artur","Artur","Artur","Artur Victor Guimarães","https://s.glbimg.com/es/sde/f/2022/02/21/8a066ad3f920ce6d6ba32a01ff830e8c_FORMATO.png","Bragantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",53148,2,280,"ata","7",10.3,8.26,2.32,5.15,2,NA,"ytalo","Ytalo","Ytalo","Ytalo José Oliveira dos Santos","https://s.glbimg.com/es/sde/f/2022/02/21/04e6ec2a4a482288bbd0edd201653f3d_FORMATO.png","Bragantino",NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"67",89898,2,264,"ata","7",25,20.49,7.61,15.25,2,NA,"roger-guedes","Róger Guedes","R. Guedes","Róger Krug Guedes","https://s.glbimg.com/es/sde/f/2021/11/12/4a05bdeb95f4e052f5e4d6bc9e844fa2_FORMATO.png","Corinthians",NA,NA,NA,NA,NA,1,3,3,NA,8,NA,NA,1,NA,NA,NA,NA,NA,NA
"68",104754,2,356,"tec","7",2.16,6.83,-0.85,2.4,2,NA,"juan-vojvoda","Juan Vojvoda","J. Vojvoda","Juan Pablo Vojvoda Rizzo","https://s.glbimg.com/es/sde/f/2021/05/04/b1ac9362e20bba2d6dc699906e1420cc_FORMATO.png","Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
