,atletas.pontos_num,atletas.preco_num,atletas.nome,atletas.posicao_id,atletas.foto,atletas.rodada_id,atletas.slug,atletas.apelido_abreviado,atletas.apelido,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.clube_id,atletas.status_id,atletas.jogos_num,atletas.variacao_num,atletas.media_num,CA,DS,FC,FD,FF,FS,PI,SG,A,G,I,FT,DE,GS,GC,PP,CV,DP,PC,PS
59,0.0,5.61,Rodrigo Modesto da Silva Moledo,3,https://s.glbimg.com/es/sde/f/2022/04/02/a672a123ec8d7b626a7c7aad1211dc94_FORMATO.png,28,rodrigo-moledo,R. Moledo,Rodrigo Moledo,Internacional,1.01,63354,285,7,10,0.0,3.77,1.0,14.0,4.0,3.0,3.0,7.0,14.0,3.0,,,,,,,,,,,,
60,1.1,7.26,Alan Patrick Lourenço,4,https://s.glbimg.com/es/sde/f/2022/04/12/d0f45ab083d12ecd860e02a9bf048379_FORMATO.png,28,alan-patrick,A. Patrick,Alan Patrick,Internacional,1.3,68685,285,7,17,-0.66,3.96,2.0,12.0,11.0,8.0,7.0,33.0,74.0,,2.0,3.0,,,,,,,,,,
61,0.3,3.54,André Felipe Ribeiro de Souza,5,https://s.glbimg.com/es/sde/f/2022/02/23/ee02dcfd3fef8bb6cb823ff266baa89a_FORMATO.png,28,andre,André,André,Cuiabá,0.45,68690,1371,6,16,-0.06,2.24,2.0,7.0,15.0,,5.0,19.0,35.0,,,3.0,1.0,,,,,,,,,
62,0.0,7.57,Bruno César Pereira da Silva,4,https://s.glbimg.com/es/sde/f/2022/02/23/7c8012647193d72e2db7ad4e887df99f_FORMATO.png,28,bruno-silva,B. Silva,Bruno Silva,Avaí,1.77,68698,314,3,23,0.0,3.58,8.0,81.0,56.0,1.0,6.0,30.0,132.0,,1.0,,1.0,,,,,,1.0,,,
63,0.0,9.4,Carlos Eduardo de Oliveira Alves,4,https://s.glbimg.com/es/sde/f/2022/07/12/defe5a5f9596bc80eb9f86efab5f5bcd_FORMATO.png,28,eduardo,Eduardo,Eduardo,Botafogo,6.25,68708,263,7,9,0.0,5.46,3.0,15.0,17.0,1.0,9.0,15.0,37.0,,1.0,2.0,,2.0,,,,,,,,
64,-0.9,4.27,José Rodolfo Pires Ribeiro,2,https://s.glbimg.com/es/sde/f/2022/07/15/609e318b14a5b18020808dc34efd5bfa_FORMATO.png,28,dodo,Dodô,Dodô,Atlético-MG,-0.64,68727,282,6,3,-1.13,1.7,1.0,4.0,1.0,1.0,1.0,1.0,9.0,,,,,,,,,,,,,
65,5.1,4.37,Guilherme de Aguiar Camacho,4,https://s.glbimg.com/es/sde/f/2022/03/03/44a5a0d1669b56e3bc607727595c4751_FORMATO.png,28,camacho,Camacho,Camacho,Santos,4.46,68770,277,6,17,0.06,1.95,5.0,38.0,25.0,1.0,,5.0,38.0,,,,,,,,,,,,,
66,1.3,3.81,Henrique Almeida Caixeta Nascentes,5,https://s.glbimg.com/es/sde/f/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,28,henrique-almeida,H. Almeida,Henrique Almeida,América-MG,1.3,68773,327,3,21,0.07,2.67,6.0,13.0,26.0,13.0,13.0,8.0,57.0,,,4.0,10.0,1.0,,,,1.0,,,,
67,0.0,6.74,Severino do Ramo Clementino da Silva,2,https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png,28,nino-paraiba,N. Paraíba,Nino Paraíba,Ceará,5.0,68808,354,7,22,0.0,2.83,9.0,38.0,23.0,,3.0,23.0,192.0,5.0,1.0,1.0,1.0,,,,,,,,,
68,-0.1,2.01,Jonathan Doin,3,https://s.glbimg.com/es/sde/f/2022/03/03/84da02cce1e593cb658cfcf2deef669d_FORMATO.png,28,paulo-miranda,P. Miranda,Paulo Miranda,Juventude,0.01,68817,286,7,14,0.6,0.56,4.0,12.0,12.0,2.0,2.0,5.0,46.0,1.0,,,,,,,1.0,,,,3.0,
