,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.posicao_id,atletas.clube_id,atletas.jogos_num,atletas.apelido,atletas.slug,atletas.nome,atletas.atleta_id,atletas.foto,atletas.status_id,atletas.media_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.pontos_num,atletas.preco_num,A,CA,DS,FC,FD,FF,FS,PC,PI,SG,DE,GS,GC,FT,G,I,PP,CV,PS,DP
57,,0.0,2,263,0,Carlinhos,carlinhos,Carlos Emiliano Pereira,63194,https://s.glbimg.com/es/sde/f/2022/02/21/800bc92dcc8691cf1bb118132ac62fbc_FORMATO.png,6,0.0,30,Carlinhos,Botafogo,0.0,5.0,,,,,,,,,,,,,,,,,,,,
58,,0.43,4,285,25,Edenílson,edenilson,Edenílson Andrade dos Santos,63289,https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png,7,3.67,30,Edenílson,Internacional,2.6,10.7,3.0,3.0,27.0,16.0,6.0,12.0,19.0,,131.0,,,,,2.0,4.0,1.0,,,1.0,
59,,0.19,3,285,12,Rodrigo Moledo,rodrigo-moledo,Rodrigo Modesto da Silva Moledo,63354,https://s.glbimg.com/es/sde/f/2022/04/02/a672a123ec8d7b626a7c7aad1211dc94_FORMATO.png,6,3.94,30,R. Moledo,Internacional,5.0,6.43,,1.0,14.0,4.0,3.0,3.0,7.0,,18.0,5.0,,,,,,1.0,,,,
60,,0.33,4,285,19,Alan Patrick,alan-patrick,Alan Patrick Lourenço,68685,https://s.glbimg.com/es/sde/f/2022/04/12/d0f45ab083d12ecd860e02a9bf048379_FORMATO.png,2,3.72,30,A. Patrick,Internacional,2.6,7.57,2.0,2.0,12.0,11.0,10.0,9.0,33.0,,80.0,,,,,,3.0,1.0,,,,
61,,0.31,4,314,24,Bruno Silva,bruno-silva,Bruno César Pereira da Silva,68698,https://s.glbimg.com/es/sde/f/2022/02/23/7c8012647193d72e2db7ad4e887df99f_FORMATO.png,7,3.57,30,B. Silva,Avaí,3.3,7.88,1.0,9.0,86.0,60.0,1.0,6.0,31.0,,142.0,,,,,,,1.0,,1.0,,
62,,0.42,4,263,11,Eduardo,eduardo,Carlos Eduardo de Oliveira Alves,68708,https://s.glbimg.com/es/sde/f/2022/07/12/defe5a5f9596bc80eb9f86efab5f5bcd_FORMATO.png,7,5.11,30,Eduardo,Botafogo,4.5,9.17,1.0,3.0,18.0,19.0,1.0,11.0,23.0,,52.0,,,,,2.0,2.0,,,,,
63,,-0.59,2,282,5,Dodô,dodo,José Rodolfo Pires Ribeiro,68727,https://s.glbimg.com/es/sde/f/2022/07/15/609e318b14a5b18020808dc34efd5bfa_FORMATO.png,7,3.64,30,Dodô,Atlético-MG,4.2,5.34,,1.0,11.0,3.0,1.0,2.0,3.0,,24.0,1.0,,,,,,,,,,
64,,0.0,4,277,18,Camacho,camacho,Guilherme de Aguiar Camacho,68770,https://s.glbimg.com/es/sde/f/2022/03/03/44a5a0d1669b56e3bc607727595c4751_FORMATO.png,7,1.88,30,Camacho,Santos,0.0,3.75,,6.0,40.0,26.0,1.0,,5.0,,43.0,,,,,,,,,,,
65,,0.0,5,327,21,Henrique Almeida,henrique-almeida,Henrique Almeida Caixeta Nascentes,68773,https://s.glbimg.com/es/sde/f/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,7,2.67,30,H. Almeida,América-MG,0.0,3.81,,6.0,13.0,26.0,13.0,13.0,8.0,,57.0,,,,,1.0,4.0,10.0,1.0,,,
66,,0.25,2,354,24,Nino Paraíba,nino-paraiba,Severino do Ramo Clementino da Silva,68808,https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png,7,2.7,30,N. Paraíba,Ceará,2.0,6.23,1.0,9.0,40.0,25.0,,3.0,29.0,,224.0,5.0,,,,,1.0,1.0,,,1.0,
67,,0.0,3,286,14,Paulo Miranda,paulo-miranda,Jonathan Doin,68817,https://s.glbimg.com/es/sde/f/2022/03/03/84da02cce1e593cb658cfcf2deef669d_FORMATO.png,6,0.56,30,P. Miranda,Juventude,0.0,2.01,,4.0,12.0,12.0,2.0,2.0,5.0,3.0,46.0,1.0,,,1.0,,,,,,,
68,,0.0,3,286,2,Renato Chaves,renato-chaves,Renato de Araújo Chaves Júnior,68827,https://s.glbimg.com/es/sde/f/2022/08/04/0bc83ac31c543274a27ef12ac1aae92c_FORMATO.png,5,1.45,30,R. Chaves,Juventude,0.0,3.2,,,1.0,1.0,2.0,,,,4.0,,,,,,,,,,,
69,,0.0,1,275,3,Marcelo Lomba,marcelo-lomba,Marcelo Lomba do Nascimento,68872,https://s.glbimg.com/es/sde/f/2022/02/21/bd515cd514deb5197bb2faa8a721c8f7_FORMATO.png,6,8.83,30,M. Lomba,Palmeiras,0.0,7.77,,1.0,,,,,1.0,,,3.0,12.0,,,,,,,,,
70,,0.62,5,290,18,Vinicius,vinicius,Vinicius Santos Silva,68917,https://s.glbimg.com/es/sde/f/2022/03/10/4b5dcfbcabc53f525f565f57f8050ed7_FORMATO.png,7,2.27,30,Vinicius,Goiás,3.2,4.77,3.0,1.0,19.0,14.0,5.0,11.0,13.0,,123.0,,,,,,,5.0,,,,
71,,-0.04,5,275,29,Dudu,dudu,Eduardo Pereira Rodrigues,68920,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/02/21/f77c90a60a3c8354d3235d1b61be9208_FORMATO.png,7,4.96,30,Dudu,Palmeiras,9.1,13.38,6.0,2.0,23.0,12.0,15.0,20.0,51.0,,193.0,,,,,4.0,5.0,4.0,,,,
72,,0.0,3,264,18,Gil,gil,Carlos Gilberto do Nascimento Silva,68923,https://s.glbimg.com/es/sde/f/2022/04/27/14ec5e5e1aa438191eb6e95781e175fb_FORMATO.png,3,4.29,30,Gil,Corinthians,0.0,8.05,1.0,2.0,28.0,6.0,5.0,1.0,6.0,1.0,61.0,8.0,,,,,,2.0,,,,
73,,0.0,1,282,0,Rafael,rafael,Rafael Pires Monteiro,68928,https://s.glbimg.com/es/sde/f/2022/07/15/5f41e2711750955ef1b92db4d8efe3ae_FORMATO.png,7,0.0,30,Rafael,Atlético-MG,0.0,5.0,,,,,,,,,,,,,,,,,,,,
74,,-0.24,3,294,26,Luciano Castán,luciano-castan,Luciano Castán da Silva,68942,https://s.glbimg.com/es/sde/f/2022/02/23/26b6a7aa27f2be0fabc25b57132d892c_FORMATO.png,7,2.63,30,L. Castán,Coritiba,1.0,6.09,,5.0,38.0,20.0,,6.0,16.0,,139.0,6.0,,,,,1.0,1.0,,1.0,,
