,atletas.variacao_num,atletas.preco_num,atletas.foto,atletas.nome,atletas.clube.id.full.name,atletas.atleta_id,atletas.apelido_abreviado,atletas.rodada_id,atletas.posicao_id,atletas.status_id,atletas.clube_id,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.media_num,atletas.apelido,atletas.slug,A,CA,DS,FC,FD,FF,FS,FT,G,PP,I,SG,PS,CV,DE,GS,V,PC,DP,GC
68,0.0,11.51,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,Pablo Felipe Teixeira,Athlético-PR,69138,Pablo,14,5,6,293,0.0,,8,5.0,Pablo,pablo,2.0,2.0,10.0,8.0,3.0,8.0,9.0,,1.0,,1.0,,,,,,,,,
69,0.0,5.0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,Pablo Nascimento Castro,Flamengo,69165,Pablo,14,3,2,262,0.0,,0,0.0,Pablo,pablo,,,,,,,,,,,,,,,,,,,,
70,0.0,2.61,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,Sidimar Fernando Cigolini,Goiás,69189,Sidimar,14,3,6,290,0.0,,6,1.45,Sidimar,sidimar,,1.0,3.0,4.0,1.0,2.0,5.0,,,,,1.0,,,,,,,,1.0
71,1.25,16.18,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,Luis Alberto Suárez Díaz,Grêmio,69318,L. Suárez,14,5,6,284,9.7,,12,8.99,Luis Suárez,luis-suarez,3.0,2.0,8.0,13.0,15.0,19.0,28.0,5.0,4.0,1.0,11.0,,,,,,,,,
72,-0.43,7.08,https://s.sde.globo.com/media/person_role/2023/04/02/photo_220x220_AyFyEWO.png,Charles Mariano Aránguiz Sandoval,Internacional,69325,Aránguiz,14,4,6,285,-0.3,,2,0.95,Aránguiz,aranguiz,,,1.0,3.0,,2.0,,,,,,,,,,,,,,
73,0.0,5.71,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_dBcN4Gz.png,Arturo Erasmo Vidal Pardo,Flamengo,69375,Vidal,14,4,5,262,0.0,,6,2.32,Vidal,vidal,,2.0,5.0,4.0,2.0,4.0,5.0,1.0,,,,,,,,,,,,
74,0.0,3.48,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,Maycon Vinícius Ferreira da Cruz,Cruzeiro,69705,Nikão,14,4,6,283,0.0,,5,0.3,Nikão,nikao,,1.0,2.0,4.0,,,3.0,,,,2.0,,,,,,,,,
75,0.0,6.7,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,Rafael Pereira da Silva,Botafogo,70171,Rafael,14,2,5,263,0.0,,9,5.16,Rafael,rafael,,2.0,22.0,12.0,1.0,,5.0,,,,,5.0,,1.0,,,,,,
76,0.0,4.63,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,Fábio Pereira da Silva,Grêmio,70172,Fábio,14,2,5,284,0.0,,4,2.75,Fábio,fabio,1.0,,4.0,2.0,,1.0,2.0,,,,,,,,,,,,,
77,-0.03,3.21,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,Bruno Uvini,Grêmio,70221,B. Uvini,14,3,6,284,1.3,,10,1.98,Bruno Uvini,bruno-uvini,,3.0,4.0,6.0,3.0,4.0,6.0,1.0,1.0,,,,,,,,,1.0,,
78,-0.76,11.87,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,Eduardo Colcenti Antunes,Bragantino,70360,E. Sasha,14,5,7,280,4.1,,14,6.19,Eduardo Sasha,eduardo-sasha,2.0,2.0,7.0,11.0,5.0,7.0,17.0,2.0,6.0,,5.0,,,,,,,,,
79,0.0,5.47,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ovYbvXA.png,Gabriel Vasconcelos Ferreira - Vasconcellos,Coritiba,70449,Gabriel,14,1,7,294,0.0,,12,2.5,Gabriel,gabriel,1.0,3.0,,,,,,,,,,1.0,,,48.0,25.0,,,,
80,-1.06,6.65,https://s.sde.globo.com/media/person_role/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png,Marllon Gonçalves Jerônimo Borges,Cuiabá,70666,Marllon,14,3,7,1371,-0.3,,13,3.3,Marllon,marllon,1.0,3.0,13.0,9.0,,3.0,7.0,,1.0,,,3.0,,,,,,1.0,,
81,-3.4,8.6,https://s.sde.globo.com/media/person_role/2023/06/12/photo_FORMATO_M7ylRRT.png,Enner Remberto Valencia Lastra,Internacional,70788,E. Valencia,14,5,7,285,-0.1,,1,-0.1,Enner Valencia,enner-valencia,,,,2.0,,,1.0,,,,,,,,,,,,,
