,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.pontos_num,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.nome,atletas.slug,atletas.preco_num,atletas.apelido,atletas.status_id,atletas.posicao_id,atletas.media_num,atletas.variacao_num,atletas.clube_id,atletas.atleta_id,atletas.foto,CA,DS,FC,FD,FF,FS,G,I,FT,SG,CV,PS,DE,GS,DP,A,PC,PP,V,GC
72,Flamengo,0.33,0.0,4,Vidal,6,Arturo Erasmo Vidal Pardo,vidal,6.05,Vidal,6,4,2.83,-0.68,262,69375,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_dBcN4Gz.png,2.0,4.0,3.0,1.0,4.0,4.0,,,1.0,,,,,,,,,,,
73,Cruzeiro,1.31,0.0,4,Nikão,6,Maycon Vinícius Ferreira da Cruz,nikao,3.8,Nikão,6,4,0.32,0.0,283,69705,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,1.0,2.0,3.0,,,2.0,,2.0,,,,,,,,,,,,
74,Goiás,5.65,0.0,0,F. Bastos,6,Fellipe Ramos Ignez Bastos,fellipe-bastos,5.0,Fellipe Bastos,6,4,0.0,0.0,290,70116,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_2gvVYzL.png,,,,,,,,,,,,,,,,,,,,
75,Botafogo,0.86,0.0,3,Rafael,6,Rafael Pereira da Silva,rafael,4.45,Rafael,6,2,2.53,0.0,263,70171,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,,9.0,4.0,,,2.0,,,,,1.0,,,,,,,,,
76,Grêmio,6.1,0.0,1,Fábio,6,Fábio Pereira da Silva,fabio,5.4,Fábio,6,2,6.2,0.0,284,70172,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,,1.0,,,,,,,,,,,,,,1.0,,,,
77,Grêmio,0.13,0.0,3,B. Uvini,6,Bruno Uvini,bruno-uvini,2.15,Bruno Uvini,7,3,0.03,0.0,284,70221,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,2.0,2.0,1.0,,,2.0,,,,,,,,,,,1.0,,,
78,Bragantino,1.97,2.9,6,E. Sasha,6,Eduardo Colcenti Antunes,eduardo-sasha,9.59,Eduardo Sasha,7,5,4.27,0.27,280,70360,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,1.0,2.0,3.0,,3.0,8.0,2.0,3.0,1.0,,,,,,,,,,,
79,Coritiba,0.71,1.0,6,Gabriel,6,Gabriel Vasconcelos Ferreira - Vasconcellos,gabriel,3.58,Gabriel,7,1,1.33,0.04,294,70449,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ovYbvXA.png,1.0,,,,,,,,,,,,23.0,14.0,,,,,,
80,Cuiabá,0.9,1.2,6,Marllon,6,Marllon Gonçalves Jerônimo Borges,marllon,6.4,Marllon,7,3,3.27,-0.03,1371,70666,https://s.sde.globo.com/media/person_role/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png,2.0,6.0,4.0,,2.0,4.0,1.0,,,,,,,,,1.0,1.0,,,
81,Flamengo,3.97,6.54,5,J. Sampaoli,6,Jorge Sampaoli,jorge-sampaoli,10.51,Jorge Sampaoli,7,6,5.64,-0.05,262,70800,https://s.sde.globo.com/media/person_role/2023/04/17/photo_FORMATO_Fp5qEri.png,,,,,,,,,,,,,,,,,,,2.0,
