,atletas.slug,atletas.clube_id,atletas.atleta_id,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.entrou_em_campo,atletas.posicao_id,atletas.foto,atletas.jogos_num,atletas.status_id,atletas.clube.id.full.name,atletas.rodada_id,atletas.apelido,atletas.nome,atletas.apelido_abreviado,atletas.preco_num,atletas.media_num,A,CA,DS,FC,FD,FF,FS,FT,GC,PC,SG,G,I,PP,CV,V,DE,GS,PS,DP,PI
587,arthur,266,111841,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2021/03/15/a1e027a6133eb086771225ec24cc7c69_FORMATO.png,1,6,Fluminense,28,Arthur,Arthur Wenderrosky Sanches,Arthur,1.04,1.2,,,1.0,,,,,,,,,,,,,,,,,,
588,guilherme-biro,264,111891,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2022/07/02/ea53a64347e60658cdcbd15ba83320ba_FORMATO.png,10,6,Corinthians,28,Guilherme Biro,Guilherme Sucigan Mafra Cunha,G. Biro,2.99,2.19,,2.0,10.0,13.0,2.0,7.0,16.0,,,,,,2.0,,,,,,,,
589,diego-hernandez,263,111945,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/05/26/photo_220x220_jllMRNk.png,1,6,Botafogo,28,Diego Hernández,Diego Manuel Hernández González,D. Hernández,5.42,1.7,,,,,1.0,,1.0,,,,,,,,,,,,,,
590,julian-palacios,290,111996,4.4,,0.48,True,4,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_C8xKUgn.png,20,7,Goiás,28,Julián Palacios,Julián Eduardo Palacios,J. Palacios,5.75,2.4,1.0,3.0,13.0,23.0,7.0,8.0,43.0,,,,,,3.0,,,,,,1.0,,
591,lucas-beraldo,276,112136,6.4,,0.89,True,3,https://s.sde.globo.com/media/person_role/2022/07/22/aef0c837cb53876eb1509bd8c3eaa586_FORMATO.png,16,7,São Paulo,28,Lucas Beraldo,Lucas Lopes Beraldo,L. Beraldo,6.81,3.63,,3.0,22.0,13.0,2.0,4.0,10.0,,,,4.0,1.0,,,,,,,,,
592,thalisson-gabriel,294,112367,0.0,,-0.21,True,3,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_sNKyuNw.png,2,7,Coritiba,28,Thalisson Gabriel,Thalisson Gabriel Pereira Moreira,T. Gabriel,0.77,0.7,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,
593,emerson-ramon,1371,112370,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/03/30/photo_FORMATO_wzDDWM2.png,10,6,Cuiabá,28,Emerson Ramon,Emerson Ramon Bezerra Oliveira,E. Ramon,3.84,2.07,,,5.0,5.0,3.0,7.0,14.0,,,,,,1.0,,,,,,,,
594,gabriel-grando,284,112616,1.0,,-0.14,True,1,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_bv2qwrK.png,23,7,Grêmio,28,Gabriel Grando,Gabriel Hamester Grando,G. Grando,5.69,3.16,,4.0,,,,,6.0,,,,4.0,,,,,,88.0,34.0,,,
595,kaiki,283,112709,8.8,,1.63,True,2,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_HCZ4bVf.png,6,7,Cruzeiro,28,Kaiki,Kaiki Bruno da Silva,Kaiki,3.68,2.23,,1.0,4.0,11.0,,,6.0,,,,2.0,,1.0,,,,,,,,
596,lucas-barbosa,294,112886,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/09/13/photo_FORMATO_Dsp7wOi.png,8,6,Coritiba,28,Lucas Barbosa,Lucas Henrique Barbosa,L. Barbosa,4.4,2.21,,,12.0,8.0,2.0,1.0,5.0,,,,,,,,,,,,,,
597,capasso,267,112913,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_OaLhk6j.png,8,6,Vasco,28,Capasso,Manuel Vicente Capasso,Capasso,2.31,0.58,,3.0,7.0,5.0,,1.0,,,,,,,1.0,,,,,,,,
598,werton,262,112984,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_b5lT2QZ.png,0,6,Flamengo,28,Werton,Werton de Almeida Rêgo,Werton,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
599,flaco-lopez,275,113103,0.9,,-0.04,True,5,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_V15s07E.png,17,7,Palmeiras,28,Flaco López,José Manuel Alberto López,F. López,6.15,2.01,,3.0,8.0,17.0,5.0,6.0,11.0,,,,,2.0,5.0,,,,,,1.0,,
600,kauan,282,113154,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/04/01/photo_220x220_9pgUpwG.png,0,6,Atlético-MG,28,Kauan,Kauan Silva Sales,Kauan,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
601,nathan-mendes,276,113157,5.0,,0.08,True,2,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Ec4EI26.png,11,6,São Paulo,28,Nathan Mendes,Nathan Gabriel de Souza Mendes,N. Mendes,4.75,4.15,,3.0,9.0,14.0,1.0,1.0,14.0,,,,5.0,1.0,,,,,,,,,
602,michel,275,113159,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2022/04/06/2e58e6fda93f2529e843b6dacea39be3_FORMATO.png,0,6,Palmeiras,28,Michel,Michel Augusto Modesto Rafael dos Santos,Michel,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
603,julio,327,113295,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_ta473IP.png,3,6,América-MG,28,Júlio,Júlio César Alves Gonçalves,Júlio,4.37,4.7,1.0,,,3.0,,,,,,,2.0,,,,,,,,,,
604,pablo-maia,276,113359,7.2,,1.09,True,4,https://s.sde.globo.com/media/person_role/2022/03/05/e91f0953fe782088f01eda528fd69b2f_FORMATO.png,22,3,São Paulo,28,Pablo Maia,Pablo Gonçalves Maia Fortunato,P. Maia,6.71,3.13,,6.0,35.0,48.0,9.0,10.0,15.0,,,,,3.0,,,1.0,,,,,,
605,diogo-batista,294,113384,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/09/13/photo_FORMATO_KoGBw9E.png,8,6,Coritiba,28,Diogo Batista,Diogo Batista de Souza,D. Batista,1.67,2.74,1.0,1.0,4.0,8.0,2.0,2.0,3.0,,,,2.0,,,,,,,,,,
606,bruninho,280,113558,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2022/05/05/f1f155231d0b75984084fb05c52de0db_FORMATO.png,13,6,Bragantino,28,Bruninho,Bruno Gonçalves de Jesus,Bruninho,7.96,2.96,1.0,,7.0,1.0,5.0,2.0,6.0,,,1.0,,2.0,1.0,,,,,,,,
607,kevin,275,113663,3.1,,0.41,True,5,https://s.sde.globo.com/media/person_role/2023/03/03/photo_FORMATO_TugHOMv.png,6,6,Palmeiras,28,Kevin,Kevin Santos Lopes de Macedo,Kevin,1.43,1.72,,2.0,6.0,7.0,2.0,3.0,5.0,,,,,,1.0,,,,,,,,
608,ryan-luka,262,113667,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_4G7ETFM.png,0,6,Flamengo,28,Ryan Luka,Ryan Luka Cordeiro de Souza,R. Luka,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
609,diogenes,277,113690,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_TyR44XO.png,0,6,Santos,28,Diógenes,Diógenes Vinícius da Silva,Diógenes,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
610,andre-luiz,262,114174,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_qtSFh6j.png,2,6,Flamengo,28,André Luiz,André Luiz Inácio da Silva,A. Luiz,1.29,-0.05,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
611,juan-tavares,1371,114497,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/06/04/photo_FORMATO_s4c9qYu.png,0,6,Cuiabá,28,Juan Tavares,Juan Pablo Vilela Tavares,J. Tavares,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
612,cleiton,262,114790,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_L2MYyBn.png,0,6,Flamengo,28,Cleiton,Cleiton Santana dos Santos,Cleiton,3.0,0.0,,,,,,,,,,,,,,,,,,,,,
613,vitor-roque,293,114802,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_0B2D0LR.png,21,5,Athlético-PR,28,Vitor Roque,Vitor Hugo Roque Ferreira,V. Roque,12.47,7.59,3.0,6.0,19.0,32.0,11.0,14.0,42.0,1.0,,,,11.0,5.0,,,,,,1.0,,
614,luciano,280,114888,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2022/05/05/21a71a480463a1c9c0140cfd2b91c6d8_FORMATO.png,0,6,Bragantino,28,Luciano,Luciano Silva Santos,Luciano,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
615,peruchi,1371,114893,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_SsVd5Bj.png,0,6,Cuiabá,28,Peruchi,Vinicius Pasquini Peruchi,Peruchi,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
616,miguelito,277,115025,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_CgKUL3N.png,2,6,Santos,28,Miguelito,Miguel Àngel Terceros,Miguelito,1.57,1.25,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
617,thauan-lara,285,115061,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_QvNiNqZ.png,8,6,Internacional,28,Thauan Lara,Thauan Lara dos Santos,T. Lara,2.63,2.75,,1.0,5.0,6.0,1.0,2.0,12.0,,,,2.0,,,,,,,,,,
618,caio,276,115227,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2022/04/06/c624743dce9149ef9c0122f7eabd3337_FORMATO.png,0,6,São Paulo,28,Caio,Caio Matheus da Silva,Caio,3.0,0.0,,,,,,,,,,,,,,,,,,,,,
619,wesley,262,115239,8.6,,0.28,True,2,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_FLI9Vom.png,27,7,Flamengo,28,Wesley,Wesley Vinícius França Lima,Wesley,10.46,5.25,1.0,3.0,53.0,41.0,3.0,4.0,41.0,1.0,,1.0,10.0,1.0,8.0,,,,,,2.0,,
620,naves,275,115246,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_PUzC8ZB.png,5,6,Palmeiras,28,Naves,Kaiky Marques Naves,Naves,1.94,3.28,,,6.0,6.0,,,2.0,,,,2.0,,,,,,,,,,
621,kaique,275,115247,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2022/04/06/42c5ad338bd56af0c7eeb86e91a85304_FORMATO.png,0,6,Palmeiras,28,Kaique,Kaique Pereira Azarias,Kaique,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
622,jhon-jhon,275,115248,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_cdZiLf8.png,17,6,Palmeiras,28,Jhon Jhon,Jhonatan dos Santos Rosa,J. Jhon,1.62,1.81,1.0,4.0,19.0,21.0,3.0,4.0,11.0,,,,,,1.0,,,,,,,,
623,romulo,282,115268,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2021/12/09/5cad18cd9645fbba0749287a12b4c476_FORMATO.png,0,6,Atlético-MG,28,Rômulo,Rômulo Helberte Pereira Junior,Rômulo,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
624,emersonn,293,115273,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2021/12/09/ef22051bd5702578dd49c2ea6d4bc4d8_FORMATO.png,0,6,Athlético-PR,28,Emersonn,Emersonn Correia da Silva,Emersonn,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
625,marcos-victor,265,115537,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_PrZupVH.png,0,6,Bahia,28,Marcos Victor,Marcos Victor Ferreira da Silva,M. Victor,4.0,0.0,,,,,,,,,,,,,,,,,,,,,
626,rodriguinho,327,115563,10.8,,1.88,True,4,https://s.sde.globo.com/media/person_role/2023/10/11/photo_FORMATO_TSPnsCz.png,11,7,América-MG,28,Rodriguinho,Rodrigo Henrique Santos de Souza,Rodriguinho,4.45,3.61,2.0,1.0,13.0,15.0,2.0,2.0,10.0,1.0,,,,1.0,3.0,,,,,,,,
627,mila,284,115671,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_GjZARIK.png,8,5,Grêmio,28,Mila,Lucas Eduardo Müller - Milla,Mila,1.0,0.61,,2.0,5.0,10.0,,3.0,3.0,,,,,,,,,,,,,,
628,gabriel-delfim,282,115674,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_R1TAAd6.png,0,6,Atlético-MG,28,Gabriel Delfim,Gabriel Delfim Ferreira,G. Delfim,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
629,ze-vitor,267,115733,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_E9RklP7.png,2,6,Vasco,28,Zé Vitor,José Vitor Geminiano Cavalieri,Z. Vitor,1.14,-1.8,,2.0,,2.0,,,,,,1.0,,,,,,,,,,,
630,pimentel,267,115734,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_bs3vmzt.png,0,6,Vasco,28,Pimentel,Eric Lima Pimentel,Pimentel,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
631,jonathan,280,115870,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO_7Zk5L8m.png,0,6,Bragantino,28,Jonathan,Jonathan da Cruz Silva,Jonathan,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
632,evertton-araujo,262,115914,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_TQMbzmd.png,0,6,Flamengo,28,Evertton Araújo,Everton Gustavo Fernandes Araújo,E. Araújo,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
633,lele,266,115915,0.0,,-0.2,True,5,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_JNinp65.png,21,6,Fluminense,28,Lelê,Leanderson da Silva Genésio,Lelê,8.52,2.7,2.0,1.0,8.0,25.0,13.0,15.0,6.0,1.0,,,,2.0,9.0,,1.0,,,,,,
634,endrick,275,115959,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_6tQjxwx.png,21,6,Palmeiras,28,Endrick,Endrick Felipe Moreira de Sousa,Endrick,6.91,2.96,,3.0,5.0,28.0,7.0,9.0,18.0,2.0,,,,5.0,1.0,1.0,,,,,1.0,,
635,denilson,1371,115986,4.7,,-0.38,True,4,https://s.sde.globo.com/media/person_role/2022/10/15/photo_FORMATO_sqKxYTo.png,21,6,Cuiabá,28,Denilson,Denilson Alves Borges,Denilson,5.14,3.35,2.0,6.0,29.0,26.0,9.0,9.0,27.0,,,,,1.0,,,,,,,,,
636,mateus-henrique,327,115997,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_qdMBMKN.png,5,6,América-MG,28,Mateus Henrique,Mateus Henrique Alves Silva,M. Henrique,1.62,3.44,1.0,1.0,9.0,8.0,,1.0,8.0,,,,,,,,,,,,,,
637,adyson,327,115998,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_KOZ7smb.png,3,6,América-MG,28,Adyson,Adyson do Nascimento Soares,Adyson,2.21,1.8,,,4.0,2.0,1.0,,,,,,,,,,,,,,,,
638,wallison,263,116000,0.0,,0.0,False,2,,0,6,Botafogo,28,Wallison,Wallison Nunes Silva,Wallison,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
639,matheus-goncalves,280,116012,7.4,,1.03,True,4,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO_qMCtXjD.png,9,7,Bragantino,28,Matheus Gonçalves,Matheus Gonçalves Martins,M. Gonçalves,3.58,1.95,1.0,2.0,2.0,5.0,,6.0,8.0,1.0,,,,,1.0,,,,,,2.0,,
640,igor-jesus,262,116013,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_fA4Y3X6.png,4,6,Flamengo,28,Igor Jesus,Igor Jesus Lima,I. Jesus,1.77,1.08,,1.0,2.0,5.0,,3.0,4.0,,,,,,,,,,,,,,
641,petterson,262,116025,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_lUPHYVN.png,0,6,Flamengo,28,Petterson,Petterson Novaes Reis,Petterson,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
642,victor-hugo,262,116034,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_nUR0WYM.png,25,6,Flamengo,28,Victor Hugo,Victor Hugo Gomes Silva,V. Hugo,6.1,2.46,2.0,1.0,25.0,8.0,2.0,5.0,21.0,,,,,1.0,1.0,,,,,,,,
643,vitor-graziani,282,116046,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/04/01/photo_FORMATO_bXh4eA4.png,0,6,Atlético-MG,28,Vitor Graziani,Vitor Hugo Santos Graziani,V. Graziani,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
644,rai,263,116048,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_n8x32pL.png,1,6,Botafogo,28,Raí,Raí da Silva Pessanha,Raí,2.11,0.0,,,,,,,,,,,,,,,,,,,,,
645,cuiabano,284,116065,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ER9oADt.png,9,6,Grêmio,28,Cuiabano,Luís Eduardo Soares da Silva,Cuiabano,5.36,3.42,,3.0,13.0,17.0,3.0,3.0,9.0,,,,1.0,1.0,2.0,,,,,,,,
646,joao-moreira,276,116137,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2022/03/01/b2773da8a486428f92cda01d2ab65d9e_FORMATO.png,1,5,São Paulo,28,João Moreira,João Moreira Sanmartin Souza,J. Moreira,3.02,4.8,,,2.0,1.0,1.0,,3.0,,,,,,,,,,,,,,
647,gabriel-silva,294,116282,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_kENShcR.png,0,6,Coritiba,28,Gabriel Silva,Gabriel Silva Azevedo Figueiredo,G. Silva,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
648,hercules,356,116447,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_U5EjTT7.png,13,5,Fortaleza,28,Hércules,Hércules Pereira do Nascimento,Hércules,6.61,3.09,,1.0,20.0,15.0,4.0,7.0,7.0,,,,,1.0,2.0,,,,,,,,
649,andre,265,116450,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_kQwNdzi.png,3,5,Bahia,28,André,André Dhominique Queiroz Santiago Da Silva,André,2.08,0.43,,1.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,
650,jamerson,294,116461,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_vdcH1tF.png,24,6,Coritiba,28,Jamerson,Jamerson Santos de Jesus,Jamerson,6.4,3.02,1.0,4.0,36.0,21.0,4.0,7.0,9.0,,,,4.0,,3.0,,,,,,,,
651,ezequiel,290,116562,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_DI919Pv.png,0,6,Goiás,28,Ezequiel,Ezequiel Alves de Oliveira Vieira,Ezequiel,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
652,jhonny,280,116825,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2022/02/24/07c2ee6d264dd5863593c52fdaba42b5_FORMATO.png,0,6,Bragantino,28,Jhonny,Jhonny Cardinoti Pedro,Jhonny,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
653,reginaldo,290,116835,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2022/04/15/c6b1985503cc71ba6d6154b448940158_FORMATO.png,0,6,Goiás,28,Reginaldo,Reginaldo dos Santos Moreira,Reginaldo,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
654,pedrinho,262,117112,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2022/09/27/photo_FORMATO_1oFhhWx.png,1,6,Flamengo,28,Pedrinho,Pedro Henrique Fonseca de Araújo Martins,Pedrinho,0.74,0.0,,,,,,,,,,,,,,,,,,,,,
655,thiago-borbas,280,117314,2.8,,0.45,True,5,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_y6Ph2tU.png,23,6,Bragantino,28,Thiago Borbas,Thiago Nicolás Borbas Silva,T. Borbas,6.74,3.53,1.0,7.0,10.0,34.0,13.0,15.0,11.0,,,,,6.0,2.0,,,,,,,,
656,cipriano,280,117336,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/07/15/photo_FORMATO_jkA9tzz.png,1,5,Bragantino,28,Cipriano,João Luiz da Silva Cipriano,Cipriano,3.12,6.4,,1.0,3.0,4.0,,,,,,,1.0,,,,,,,,,,
657,renato-marques,327,117403,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_mDKWEgg.png,7,6,América-MG,28,Renato Marques,Renato Marques de Oliveira Júnior,R. Marques,2.12,1.82,1.0,2.0,2.0,6.0,,1.0,1.0,,,,,1.0,2.0,,,,,,,,
658,leo-mana,264,117459,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2022/07/02/5c3199a34de47846ae66a0560d4e7417_FORMATO.png,3,6,Corinthians,28,Léo Maná,Leonardo Mana Hernandes,L. Maná,1.45,0.67,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,
659,galoppo,276,117579,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2022/07/26/2ca20d35cbccce7d03bb8c585af8fddc_FORMATO.png,0,5,São Paulo,28,Galoppo,Giuliano Galoppo,Galoppo,5.0,0.0,,,,,,,,,,,,,,,,,,,,,
660,pedro-caixinha,280,117711,8.73,,0.59,True,6,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_LvzP4JH.png,27,7,Bragantino,28,Pedro Caixinha,Pedro Miguel Faria Caixinha,P. Caixinha,12.53,6.05,,,,,,,,,,,,,,,,13.0,,,,,
661,young,276,117818,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/06/07/photo_FORMATO.png,0,6,São Paulo,28,Young,Young Navarro Moraes,Young,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
662,giovane,264,117849,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_TquvINB.png,2,5,Corinthians,28,Giovane,Giovane Santana do Nascimento,Giovane,2.14,1.4,,,1.0,,,2.0,,,,,,,,,,,,,,,
663,estevao,285,117870,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_HFq77iJ.png,1,6,Internacional,28,Estevão,Estevão Barreto de Oliveira,Estevão,2.11,0.2,,,,1.0,,,1.0,,,,,,,,,,,,,,
664,wesley,264,117909,0.2,,-0.31,True,5,https://s.sde.globo.com/media/person_role/2022/04/19/e9c12ff02569765cb5c876412fae8bb8_FORMATO.png,16,6,Corinthians,28,Wesley,Wesley Gassova Ribeiro Teixeira,Wesley,3.27,2.27,,2.0,11.0,8.0,3.0,5.0,22.0,,,,,1.0,1.0,,,,,,1.0,,
665,adamo,263,117934,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/08/04/photo_220x220_m5MUr53.png,0,6,Botafogo,28,Adamo,Valentín Nicolás Adamo Reyes,Adamo,3.0,0.0,,,,,,,,,,,,,,,,,,,,,
666,nathan-camargo,280,118175,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JrPbIiU.png,1,5,Bragantino,28,Nathan Camargo,Nathan Camargo dos Santos,N. Camargo,1.53,0.5,,,,,,,1.0,,,,,,,,,,,,,,
667,ronald,284,118238,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/07/04/photo_FORMATO_juUTHsW.png,6,6,Grêmio,28,Ronald,Ronald Cardoso Falkoski,Ronald,1.21,1.98,,1.0,2.0,2.0,,2.0,3.0,,,,,1.0,,,,,,,,,
668,pedrinho,290,118304,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_vpwMN7R.png,1,6,Goiás,28,Pedrinho,Pedro Junqueira de Oliveira,Pedrinho,1.31,-0.3,,,,1.0,,,,,,,,,,,,,,,,,
669,denzel,290,118367,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/09/20/photo_FORMATO_h89EHCY.png,1,6,Goiás,28,Denzel,Denzel Nogueira Damasceno,Denzel,0.74,0.0,,,,,,,,,,,,,,,,,,,,,
670,ze-welinton,262,118501,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2022/06/29/eb9c2188bfd2d30e670faa55785ea3f2_FORMATO.png,0,6,Flamengo,28,Zé Welinton,José Welinton Campos Menezes,Z. Welinton,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
671,rodriguinho,276,118563,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2022/07/03/2c39fe8401bb55ea80a9a5bf0fde08ef_FORMATO.png,11,3,São Paulo,28,Rodriguinho,Rodrigo Huendra Almeida Mendonça,Rodriguinho,0.93,0.56,,3.0,7.0,12.0,,1.0,1.0,1.0,,,,,,,,,,,,,
672,weslley-patati,277,118676,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2022/07/10/a604fa10e6f654cdd7a69453df88ea07_FORMATO.jpeg,6,6,Santos,28,Weslley Patati,Weslley Pinto Batista,W. Patati,2.21,2.25,,,7.0,1.0,2.0,2.0,3.0,,,,,,1.0,,,,,,,,
673,kevyson,277,118701,-0.1,,-0.09,True,2,https://s.sde.globo.com/media/person_role/2023/09/29/photo_FORMATO_RW7aWbF.png,9,7,Santos,28,Kevyson,Kevyson Costa e Silva,Kevyson,0.94,1.09,,1.0,9.0,5.0,2.0,2.0,3.0,,1.0,1.0,,,,,,,,,,,
674,calebe,1371,118709,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/06/04/photo_FORMATO_ILdcwWv.png,0,6,Cuiabá,28,Calebe,Calebe Oliveira Costa,Calebe,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
675,ed-carlos,277,118747,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7WKkp5D.png,4,6,Santos,28,Ed Carlos,Ed Carlos de Arruda Amorim,E. Carlos,2.0,0.5,,,1.0,,,1.0,,,,,,,,,,,,,,,
676,mateus-carvalho,267,118752,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/04/14/photo_FORMATO_AtC7CQ7.png,8,6,Vasco,28,Mateus Carvalho,Mateus Carvalho dos Santos,M. Carvalho,1.93,0.97,,3.0,8.0,13.0,1.0,1.0,6.0,,,,,,,,,,,,,,
