,atletas.status_id,atletas.slug,atletas.rodada_id,atletas.apelido_abreviado,atletas.pontos_num,atletas.clube_id,atletas.foto,atletas.media_num,atletas.atleta_id,atletas.jogos_num,atletas.nome,atletas.preco_num,atletas.apelido,atletas.clube.id.full.name,atletas.variacao_num,atletas.posicao_id,atletas.minimo_para_valorizar,DS,FC,FD,FF,FS,G,V,A,CA,I,DE,GS,PC,PS,SG,CV,FT,DP,PP,GC
72,5,aranguiz,5,Aránguiz,0.0,285,https://s.sde.globo.com/media/person_role/2023/04/02/photo_220x220_AyFyEWO.png,0.0,69325,0,Charles Mariano Aránguiz Sandoval,10.0,Aránguiz,Internacional,0.0,4,,,,,,,,,,,,,,,,,,,,,
73,2,vidal,5,Vidal,2.9,262,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_dBcN4Gz.png,3.77,69375,3,Arturo Erasmo Vidal Pardo,6.73,Vidal,Flamengo,-0.5,4,,4.0,2.0,1.0,3.0,3.0,,,,1.0,,,,,,,,1.0,,,
74,7,nikao,5,Nikão,0.0,283,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,0.32,69705,4,Maycon Vinícius Ferreira da Cruz,3.8,Nikão,Cruzeiro,-0.76,4,,2.0,3.0,,,2.0,,,,1.0,2.0,,,,,,,,,,
75,6,fellipe-bastos,5,F. Bastos,0.0,290,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_2gvVYzL.png,0.0,70116,0,Fellipe Ramos Ignez Bastos,5.0,Fellipe Bastos,Goiás,0.0,4,,,,,,,,,,,,,,,,,,,,,
76,6,rafael,5,Rafael,0.0,263,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,2.53,70171,3,Rafael Pereira da Silva,4.45,Rafael,Botafogo,0.0,2,,9.0,4.0,,,2.0,,,,,,,,,,,1.0,,,,
77,5,fabio,5,Fábio,0.0,284,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,6.2,70172,1,Fábio Pereira da Silva,5.4,Fábio,Grêmio,0.0,2,,1.0,,,,,,,1.0,,,,,,,,,,,,
78,6,bruno-uvini,5,B. Uvini,-1.5,284,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,0.03,70221,3,Bruno Uvini,2.15,Bruno Uvini,Grêmio,-0.79,3,,2.0,1.0,,,2.0,,,,2.0,,,,1.0,,,,,,,
79,7,eduardo-sasha,5,E. Sasha,-0.7,280,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,4.54,70360,5,Eduardo Colcenti Antunes,9.32,Eduardo Sasha,Bragantino,-1.82,5,,2.0,1.0,,3.0,7.0,2.0,,,1.0,3.0,,,,,,,,,,
80,7,gabriel,5,Gabriel,0.0,294,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ovYbvXA.png,1.4,70449,5,Gabriel Vasconcelos Ferreira - Vasconcellos,3.54,Gabriel,Coritiba,-0.29,1,,,,,,,,,,1.0,,19.0,11.0,,,,,,,,
81,7,marllon,5,Marllon,-0.1,1371,https://s.sde.globo.com/media/person_role/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png,3.68,70666,5,Marllon Gonçalves Jerônimo Borges,6.43,Marllon,Cuiabá,-0.48,3,,5.0,4.0,,2.0,4.0,1.0,,1.0,2.0,,,,1.0,,,,,,,
82,7,jorge-sampaoli,5,J. Sampaoli,9.03,262,https://s.sde.globo.com/media/person_role/2023/04/17/photo_FORMATO_Fp5qEri.png,5.41,70800,4,Jorge Sampaoli,10.56,Jorge Sampaoli,Flamengo,1.1,6,,,,,,,,1.0,,,,,,,,,,,,,
83,6,diogo-barbosa,5,D. Barbosa,0.0,284,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_hD7TNLn.png,2.97,70916,4,Diogo Barbosa Mendanha,8.53,Diogo Barbosa,Grêmio,0.0,2,,5.0,3.0,,1.0,4.0,,,,1.0,,,,,,1.0,,,,,
84,5,leo-cittadini,5,L. Cittadini,0.0,293,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_iZBbl8l.png,-0.25,70986,2,Leonardo Cittadini,2.05,Léo Cittadini,Athlético-PR,0.0,4,,,5.0,,,2.0,,,,,,,,,,,,,,,
