,atletas.media_num,atletas.slug,atletas.jogos_num,atletas.apelido,atletas.foto,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.preco_num,atletas.status_id,atletas.variacao_num,atletas.pontos_num,atletas.nome,atletas.clube_id,atletas.apelido_abreviado,atletas.posicao_id,atletas.clube.id.full.name,atletas.rodada_id,DS,FC,FS,CA,FD,FF,G,PS,SG,I,V,A,FT,CV,DE,GS,DP,PC,PP,GC
451,-0.5,lucao,4,Lucão,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_uN4AYEQ.png,-1.17,106160,0.82,6,0.0,0.0,Lucas Alexandre Galdino de Azevedo,280,Lucão,1,Bragantino,8,,,,1.0,,,,,,,,,,,7.0,8.0,,,,
452,6.01,gabriel-pec,8,Gabriel Pec,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_RHuy7TJ.png,1.87,106199,15.6,7,-0.45,2.9,Gabriel Fortes Chaves,267,G. Pec,5,Vasco,8,10.0,9.0,16.0,2.0,4.0,5.0,2.0,,,,,1.0,1.0,,,,,,,
453,1.7,figueiredo,7,Figueiredo,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_YrswGSn.png,2.23,106201,2.92,2,0.46,3.7,Lucas Figueiredo dos Santos,267,Figueiredo,4,Vasco,8,5.0,9.0,5.0,2.0,3.0,2.0,,,,1.0,,,1.0,,,,,,,
454,4.47,bruno-gomes,8,Bruno Gomes,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_wvinlkF.png,1.15,106202,9.38,7,-0.85,1.7,Bruno Gomes da Silva Clevelário,294,B. Gomes,4,Coritiba,8,14.0,11.0,15.0,2.0,4.0,5.0,1.0,,,,,,,,,,,,,
455,0.0,kawan,0,Kawan,https://s.sde.globo.com/media/person_role/2022/02/21/f32be788b285e944b21d286da2e5b28d_FORMATO.png,2.54,106219,2.0,5,0.0,0.0,Kawan Gabriel da Silva,293,Kawan,4,Athlético-PR,8,,,,,,,,,,,,,,,,,,,,
456,2.73,realpe,4,Realpe,https://s.sde.globo.com/media/person_role/2022/05/05/593eafb7ce8c7aa2051ccde762f1d731_FORMATO.png,2.81,106299,2.56,7,0.21,4.7,Leonardo Javier Realpe Montaño,280,Realpe,3,Bragantino,8,2.0,5.0,,,,,,,2.0,,,,,,,,,,,
457,4.63,caio-alexandre,8,Caio Alexandre,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_mYQOurq.png,0.8,106323,8.69,7,-0.2,1.1,Caio Alexandre Souza e Silva,356,C. Alexandre,4,Fortaleza,8,18.0,12.0,8.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,
458,0.0,wesley-gasolina,0,Wesley Gasolina,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_IHO297R.png,3.96,106327,3.0,6,0.0,0.0,Wesley David de Oliveira Andrade,283,W. Gasolina,2,Cruzeiro,8,,,,,,,,,,,,,,,,,,,,
459,0.0,jhonata-robert,0,Jhonata Robert,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Yc1vcMc.png,5.38,106371,4.0,5,0.0,0.0,Jhonata Robert Alves da Silva,284,J. Robert,4,Grêmio,8,,,,,,,,,,,,,,,,,,,,
460,2.23,eduardo-santos,7,Eduardo Santos,https://s.sde.globo.com/media/person_role/2023/04/03/photo_FORMATO_0B5pVnO.png,3.88,106434,4.73,5,0.0,0.0,Eduardo Gonzaga Mendes Santos,280,E. Santos,3,Bragantino,8,4.0,8.0,2.0,1.0,2.0,1.0,,,1.0,,,1.0,,,,,,,,
