"atletas.atleta_id","atletas.apelido","atletas.clube.id.full.name","atletas.posicao_id","atletas.foto"
68887,"Gum","Fluminense","Zagueiro","https://s.glbimg.com/es/sde/f/2018/01/21/fad3eca69c2c4704602fb3e8c9aa074f_140x140.png"
96340,"Lima","Grêmio","Meia","https://s.glbimg.com/es/sde/f/2017/06/07/41b9200af95015f1907da9e66954b08a_140x140.jpeg"
91206,"Raphael Alemão","Paraná","Atacante","https://s.glbimg.com/es/sde/f/2018/04/10/0e2f2cb2d9769f3516ada32f294cbb32_140x140.jpeg"
50808,"Léo Itaperuna","Paraná","Atacante","https://s.glbimg.com/es/sde/f/2018/04/10/7ebedd29014039ad16c0fc3a36bb4e9e_140x140.jpeg"
91194,"Thiago","Flamengo","Goleiro","https://s.glbimg.com/es/sde/f/2017/04/24/cbff6dc155e200c1acd0f26dfbad6fae_140x140.png"
80129,"Jadson","Fluminense","Meia","https://s.glbimg.com/es/sde/f/2018/01/21/0c060ebb8aea4462398eb955f393f2b5_140x140.png"
99583,"João Carlos","Fluminense","Atacante","https://s.glbimg.com/es/sde/f/2018/04/13/26a4ba714efafcc43303d908b1da4aac_140x140.png"
89827,"Marlos","Flamengo","Atacante","https://s.glbimg.com/es/sde/f/2018/03/24/1f32f4ee7772ddc25dde8057615c658f_140x140.png"
91263,"Jajá","Flamengo","Meia","https://s.glbimg.com/es/sde/f/2016/04/20/7c20ebcc904c9629cdb6bd202ad316f4_140x140.png"
98832,"Jean Pyerre","Grêmio","Meia","https://s.glbimg.com/es/sde/f/2017/05/04/80cc9cc69c9d3444383c8a203334be97_140x140.jpeg"
69177,"Léo","Fluminense","Lateral","https://s.glbimg.com/es/sde/f/2018/03/20/32e84c4039d121a904d169b4a6a4ad1d_140x140.png"
99628,"Esperon","Grêmio","Meia","https://s.glbimg.com/es/sde/f/2017/06/07/dfce0445c3144c43e2d3f33bb0dd4131_140x140.jpeg"
99629,"Jadson","Grêmio","Atacante","https://s.glbimg.com/es/sde/f/2017/06/07/2e7afba6e715b27222707a3f207ad556_140x140.jpeg"
85004,"Marcos Felipe ","Fluminense","Goleiro","https://s.glbimg.com/es/sde/f/2018/01/21/f21385315dde6c6c64631c625ea57bd2_140x140.png"
86760,"Lucas Macanhan","Atlético-PR","Goleiro","https://s.glbimg.com/es/sde/f/2016/05/13/222c790995cc7292f07b0dc4db7cc5f4_140x140.png"
99834,"Dionathã","Grêmio","Atacante","https://s.glbimg.com/es/sde/f/2017/11/21/774a8b64eb973c79466831016c9bf2ad_140x140.png"
92981,"Ronaldo","Flamengo","Meia","https://s.glbimg.com/es/sde/f/2018/01/12/d3ed8ef2125f7a598214a40c3fde0772_140x140.png"
99918,"Patrick","Grêmio","Meia","https://s.glbimg.com/es/sde/f/2017/08/16/34305aca84639e95caaf29addb016bab_140x140.png"
86444,"Pablo Dyego","Fluminense","Atacante","https://s.glbimg.com/es/sde/f/2018/01/21/438b2556ee9ffdf26099d9eb3ecbe28a_140x140.png"
82515,"Reginaldo","Fluminense","Zagueiro","https://s.glbimg.com/es/sde/f/2018/01/21/7d819b2cefbfa9765b479b452f54c29c_140x140.png"
87877,"Sornoza","Fluminense","Meia","https://s.glbimg.com/es/sde/f/2018/01/21/40443f559baf2dd666bfa225dc23f634_140x140.png"
86711,"Richard","Fluminense","Meia","https://s.glbimg.com/es/sde/f/2018/01/21/c57275a8854ebd5c8d269324beb31795_140x140.png"
80313,"Gilberto ","Fluminense","Lateral","https://s.glbimg.com/es/sde/f/2018/01/21/d231b19c8df41a4d02546bee8dad040b_140x140.png"
94583,"Pedro","Fluminense","Atacante","https://s.glbimg.com/es/sde/f/2018/01/21/8a0f5cf3775be841f66c7bbb1bdf14d1_140x140.png"
97452,"Marcos Calazans","Fluminense","Atacante","https://s.glbimg.com/es/sde/f/2018/01/21/394df737072c7cf9ac2e49185bee134e_140x140.png"
80188,"Marcos Junior","Fluminense","Atacante","https://s.glbimg.com/es/sde/f/2018/01/21/9e2b3f7cad84245a7922f06c4731bcc0_140x140.png"
95263,"Luquinhas","Fluminense","Meia","https://s.glbimg.com/es/sde/f/2018/01/21/29ca7d168bbbd6d61c274533c87e3d69_140x140.png"
88393,"Ayrton Lucas","Fluminense","Lateral","https://s.glbimg.com/es/sde/f/2018/01/24/d014e65ab8d78668e270fb0df555b349_140x140.png"
91706,"Marlon","Fluminense","Lateral","https://s.glbimg.com/es/sde/f/2018/01/21/cc9726998e1bf1bc65797443168ed6fa_140x140.png"
97527,"Matheus Alessandro","Fluminense","Atacante","https://s.glbimg.com/es/sde/f/2018/01/21/f1a8247584e6de66830dfae65015e441_140x140.png"
97803,"Ibañez","Fluminense","Zagueiro","https://s.glbimg.com/es/sde/f/2018/01/21/193ce33b1f28109a8704a7f03d46e383_140x140.png"
97528,"Frazan","Fluminense","Zagueiro","https://s.glbimg.com/es/sde/f/2018/01/21/7bc9e014e1cb9fc39461fbc3152ca844_140x140.png"
93790,"Marlon Freitas","Fluminense","Meia","https://s.glbimg.com/es/sde/f/2018/01/21/4015897789c8763b1c508adcdbfdabe7_140x140.png"
102384,"Macula","Fluminense","Atacante",NA
37688,"Cícero","Grêmio","Meia","https://s.glbimg.com/es/sde/f/2018/02/07/2579c294b6dea3b9b44c1e0ddbe0a64f_140x140.jpeg"
81150,"Mayke","Palmeiras","Lateral","https://s.glbimg.com/es/sde/f/2017/05/19/0c4040195eb2210f37198e62876f4dc1_140x140.png"
101601,"Caio","Fluminense","Meia","https://s.glbimg.com/es/sde/f/2018/02/10/1874c9f134d81bae125d692f57329236_140x140.png"
99425,"Felipe","Fluminense","Atacante","https://s.glbimg.com/es/sde/f/2018/01/21/2bee05842c9d96fbbae04d80edc9f2fb_140x140.png"
94336,"Mateus Norton","Fluminense","Meia","https://s.glbimg.com/es/sde/f/2018/01/21/6a83ede2333fa478dd22dbe2987af761_140x140.png"
101627,"Dudu","Fluminense","Atacante","https://s.glbimg.com/es/sde/f/2018/03/20/c97b4a1843fe9f3192484aeb4d4c2107_140x140.png"
92497,"Douglas","Fluminense","Meia","https://s.glbimg.com/es/sde/f/2018/01/21/23fa033a58dbb6b9c2500f5a80893009_140x140.png"
