AtletaID,Rodada,Posicao,ClubeID,Pontos,PontosMedia,Preco,PrecoVariacao,media,roll.media,Jogos,CA,CV,DD,DP,FC,GC,GS,RB,SG,A,FD,FF,FS,FT,G,I,PE,PP
36612,10,3,15,1.7,2.02,15.85,0.37,1.4727272727272702,2.08,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36612,11,3,15,-3.1,1.45,14.67,-1.18,1.09166666666667,0.46,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
36612,15,3,15,2.2,1.52,14.87,0.2,0.95625,-0.18,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
36612,16,3,15,-1.2,1.27,13.86,-1.01,0.829411764705883,0.2,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
36612,17,3,15,12.0,2.16,16.56,2.7,1.45,2.6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0
36612,18,3,15,-0.1,1.99,14.44,-2.12,1.36842105263158,2.58,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
36612,19,3,15,2.7,2.04,14.69,0.25,1.435,3.12,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0
36612,20,3,15,4.1,2.18,15.03,0.34,1.56190476190476,3.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
36612,21,3,15,1.0,2.11,14.4,-0.63,1.53636363636364,3.94,16.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0
36612,23,3,15,0.0,1.99,13.96,-0.44,1.40833333333333,1.56,17.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0
36612,24,3,15,0.9,1.93,14.12,0.16,1.388,1.2,18.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0
36612,25,3,15,7.0,2.2,15.17,1.05,1.60384615384615,1.78,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
36612,26,3,15,2.5,2.21,14.44,-0.73,1.63703703703704,2.08,20.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
36612,27,3,15,3.9,2.29,14.51,0.07,1.71785714285714,2.86,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36612,28,3,15,-0.1,2.18,13.82,-0.69,1.6551724137931,2.84,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
36612,29,3,15,4.2,2.27,14.67,0.85,1.74,3.5,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
36612,30,3,15,4.4,2.36,14.66,-0.01,1.8258064516129,2.98,24.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0
36612,31,3,15,-1.0,2.23,13.58,-1.08,1.7375,2.28,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
36612,33,3,15,9.8,2.52,15.17,1.59,1.92352941176471,3.48,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
36612,34,3,15,13.7,2.93,16.31,1.14,2.26,5.38,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36612,35,3,15,1.2,2.87,14.23,-2.08,2.23055555555556,4.74,28.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
36612,36,3,15,2.8,2.87,14.49,0.26,2.2459459459459503,5.5,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
