"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","FC","FD","FF","FS","G","I","PE","RB","CA","SG","FT","DD","GS","CV","PP","DP"
"55","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,7,"SAO","zag","Nulo",0,4.62,0,2.2,1,"São Paulo",NA,4,NA,1,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA
"56","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,7,"BOT","gol","Contundido",0,9,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","João Victor da Vitória Fernandes","Capixaba","https://s.glbimg.com/es/sde/f/2016/07/07/6d9964a0f815acd56932767b61858c13_FORMATO.png",94894,7,"ATL","ata","Nulo",0,0.87,0,0.4,1,"Atlético-MG",NA,1,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Pedro Guilherme Abreu dos Santos","Pedro","https://s.glbimg.com/es/sde/f/2017/01/13/f4d7c80ea8f6805a9a0875d3a9256cc5_FORMATO.png",94583,7,"FLU","ata","Nulo",1.8,4.25,-0.75,1.8,1,"Fluminense",NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"59","Pablo Estifer Armero","Armero","https://s.glbimg.com/es/sde/f/2017/02/21/db1cdca479125a2d236ee31275630a71_FORMATO.png",68693,7,"BAH","lat","Dúvida",0,2.38,0,-2.9,1,"Bahia",NA,3,1,1,NA,NA,NA,5,2,NA,NA,NA,NA,NA,1,NA,NA
"60","Raphael Cavalcante Veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2017/04/18/7f93c8857d2480594a996b33e07528f7_FORMATO.png",94509,7,"PAL","mei","Nulo",0.5,4.75,-0.41,1.1,3,"Palmeiras",NA,1,1,2,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Alexi Stival","Cuca","https://s.glbimg.com/es/sde/f/2016/05/01/ffe92c9e05e8100cdb59ce176a5352f5_FORMATO.png",42411,7,"PAL","tec","Provável",2.85,13.03,-0.48,3.42,7,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Cássio Ramos","Cássio","https://s.glbimg.com/es/sde/f/2017/04/19/aaa96b0be41ff91da112273cc059467e_FORMATO.png",42234,7,"COR","gol","Provável",11,10.81,2.48,3.95,7,"Corinthians",NA,NA,NA,NA,1,NA,NA,3,NA,NA,4,NA,6,5,NA,NA,NA
"63","Bruno Vieira do Nascimento","Bruno","https://s.glbimg.com/es/sde/f/2016/05/01/d2edee13739b924fb1847c5369f28455_FORMATO.png",42499,7,"SAO","lat","Dúvida",0,6.58,0,1.7,3,"São Paulo",NA,2,NA,NA,5,NA,NA,15,3,1,1,NA,NA,NA,NA,NA,NA
"64","Felipe Garcia dos Prazeres","Felipe Garcia","https://s.glbimg.com/es/sde/f/2017/04/27/986affeeae68d3af059f6c98de882ddb_FORMATO.png",42330,7,"ATL","gol","Provável",-4.6,7.33,-2.82,5.42,6,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,5,NA,1,1,NA,17,10,NA,NA,NA
"65","César de São José Morais","César","https://s.glbimg.com/es/sde/f/2017/04/25/6da76c24ea8925abba30757a28a54aae_FORMATO.png",94854,7,"ATL","lat","Nulo",0,1,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Fagner Conserva Lemos","Fagner","https://s.glbimg.com/es/sde/f/2017/04/19/e126b3b0182f6b12d3cc13d20f515810_FORMATO.png",42500,7,"COR","lat","Provável",0,11.77,0,3.75,4,"Corinthians",NA,5,NA,NA,5,NA,NA,16,4,1,3,NA,NA,NA,NA,NA,NA
"67","Leonardo Peixoto Principe","Léo Principe","https://s.glbimg.com/es/sde/f/2017/04/23/e35ffb8313b5c8808ee460300af5bb39_FORMATO.png",94765,7,"COR","lat","Nulo",0,3,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Júlio César Jacobi","Júlio César","https://s.glbimg.com/es/sde/f/2016/04/29/88d18a6c7e76b53f49c068867e67a91b_FORMATO.png",49673,7,"FLU","gol","Provável",-1.3,3.84,-0.46,-1.33,3,"Fluminense",NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,3,6,NA,NA,NA
"69","Guilherme Milhomem Gusmão","Guilherme","https://s.glbimg.com/es/sde/f/2017/04/28/0dde0e778cab6579a9bf8d745efc2bf0_FORMATO.png",50294,7,"ATL","mei","Contundido",0,10.33,0,2.37,3,"Atlético-PR",NA,1,NA,NA,4,1,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Hudson Rodrigues dos Santos","Hudson","https://s.glbimg.com/es/sde/f/2017/02/05/3d3e3081a494b80799d348813e420860_FORMATO.png",50324,7,"CRU","mei","Nulo",0,5.44,0,1.3,5,"Cruzeiro",NA,6,1,1,4,NA,NA,8,6,1,NA,NA,NA,NA,NA,NA,NA
"71","Wilson Rodrigues de Moura Júnior","Wilson","https://s.glbimg.com/es/sde/f/2017/04/24/5b2f43325fb756c251e30f1bd567af5b_FORMATO.png",50284,7,"COR","gol","Provável",8,13.08,1.27,5.93,7,"Coritiba",NA,NA,NA,NA,2,NA,NA,5,NA,NA,4,NA,10,4,NA,NA,NA
"72","Adilson Warken","Adilson","https://s.glbimg.com/es/sde/f/2017/04/03/8a5b4672974501d33850ca575e0f117c_FORMATO.png",50307,7,"ATL","mei","Contundido",0,5.18,0,0.5,3,"Atlético-MG",NA,6,NA,1,1,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA
