"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FS","I","PE","RB","A","FD","FF","FT","SG","G","CV","DD","GS","DP","PP","GC"
"741","Kayke Moreno de Andrade Rodrigues","Kayke","https://s.glbimg.com/es/sde/f/2017/05/02/175b6e25643dfdf97032cd564bc4e5c4_FORMATO.png",50402,16,"SAN","ata","Contundido",3.4,5,0.94,1.74,14,"Santos",NA,15,6,8,37,3,1,7,9,NA,NA,3,NA,NA,NA,NA,1,NA
"742","Marcelo Oliveira Ferreira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2016/04/30/401897dab69a776fef1185ec3ba1b85f_FORMATO.png",50328,16,"GRE","lat","Nulo",0,7.33,0,0.83,4,"Grêmio",1,4,4,1,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"743","Carlos Eduardo Marques","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2017/07/04/d229ec4b1feb142b05c30428863af3b1_FORMATO.png",50369,16,"VIT","mei","Provável",-1.9,2.24,-0.44,1.12,5,"Vitória",1,8,10,2,29,7,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"744","Lucas Rios Marques","Lucas","https://s.glbimg.com/es/sde/f/2017/07/25/ac2070c9ec995dd5cc0efc710891a97a_FORMATO.png",50362,16,"FLU","lat","Dúvida",0,2.1,0,0.25,13,"Fluminense",2,31,8,3,38,17,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"745","Gilberto Oliveira Souza Júnior","Gilberto","https://s.glbimg.com/es/sde/f/2016/08/18/6af48de27fa231f0a84e3301c9451cb9_FORMATO.png",61188,16,"SAO","ata","Nulo",3.3,4.4,0.76,1.3,8,"São Paulo",1,5,2,3,6,3,NA,2,3,NA,NA,1,NA,NA,NA,NA,NA,NA
"746","Paulo Henrique Carneiro Filho","Paulo Henrique","https://s.glbimg.com/es/sde/f/2017/02/14/f3e039a98588fd2760ea1b06034d2567_FORMATO.png",50398,16,"SPO","ata","Nulo",0,3,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"747","Marco Antonio de Mattos Filho","Marquinho","https://s.glbimg.com/es/sde/f/2017/07/25/49f339ad5e5c362acf8628d9d617d724_FORMATO.png",50407,16,"FLU","mei","Contundido",0,2.98,0,-0.4,4,"Fluminense",1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"748","Carlos Cesar Neves","Carlos Cesar","https://s.glbimg.com/es/sde/f/2017/04/03/ed8cd5220fe7c5ba0069143fad70f518_FORMATO.png",61211,16,"ATL","lat","Contundido",0,4.46,0,-0.7,1,"Atlético-MG",NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"749","Lucca Borges Brito","Lucca","https://s.glbimg.com/es/sde/f/2017/05/02/bd59d7bbf1fff0ce2e2dd4b489c5c99a_FORMATO.png",61149,16,"PON","ata","Provável",16.6,24.02,0.97,8.67,16,"Ponte Preta",1,17,56,6,46,17,1,17,15,NA,NA,10,NA,NA,NA,NA,1,NA
"750","Airton Ribeiro Santos","Airton","https://s.glbimg.com/es/sde/f/2016/05/19/53e1bd0759a8f98439752def04457e15_FORMATO.png",61985,16,"BOT","mei","Contundido",0,5.63,0,1.17,3,"Botafogo",NA,3,4,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"751","Matheus Sousa de Jesus","Matheus Jesus","https://s.glbimg.com/es/sde/f/2017/07/24/650f2b1055213cf87ff282bf2f4a271b_FORMATO.png",95335,16,"SAN","mei","Nulo",0,4,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"752","Edimar Curitiba Fraga","Edimar","https://s.glbimg.com/es/sde/f/2017/04/25/0991c88dd099660fdb7cfc88a4bedab1_FORMATO.png",62024,16,"SAO","lat","Provável",4.6,5.13,-0.16,5.85,2,"São Paulo",NA,2,6,NA,7,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"753","Ygor Nogueira de Paula","Nogueira","https://s.glbimg.com/es/sde/f/2017/07/25/2a4e33bf350856d717b1e30a45f433b7_FORMATO.png",91815,16,"FLU","zag","Nulo",0,1.92,0,0.48,5,"Fluminense",2,2,4,NA,6,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"754","Wesley Lopes Beltrame","Wesley","https://s.glbimg.com/es/sde/f/2016/05/01/df95d867f8ae0ddd0e0485b9b344e610_FORMATO.png",50421,16,"SAO","mei","Nulo",0,3.86,0,1.5,3,"São Paulo",NA,2,2,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"755","Marcio Antonio de Sousa Júnior","Marcinho","https://s.glbimg.com/es/sde/f/2017/05/25/27b1b870560cc8ddfeb933e48b232bb5_FORMATO.png",95332,16,"SAO","ata","Provável",-0.9,4.13,-0.11,1.61,16,"São Paulo",1,21,16,1,64,8,2,4,9,NA,NA,2,NA,NA,NA,NA,NA,NA
