"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","FT","PE","RB","SG","DD","GS","I","G","PP","CV","GC","DP"
"63","Felipe Melo de Carvalho","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,35,"PAL","mei","Suspenso",3.6,7.55,0.38,2.1,9,"Palmeiras",NA,2,14,2,2,12,NA,17,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Anderson Hernanes de Carvalho Andrade Lima","Hernanes","https://s.glbimg.com/es/sde/f/2017/08/24/906d163cca64b5b702fc394e60588644_FORMATO.png",38648,35,"SAO","mei","Suspenso",-2.9,17.83,-0.81,7.76,19,"São Paulo",3,3,18,14,16,51,NA,81,29,NA,NA,NA,1,9,NA,NA,NA,NA
"65","Renato Dirnei Florêncio","Renato","https://s.glbimg.com/es/sde/f/2017/05/02/ce9c1e5d21a2efec50dbdc2870d5a8c9_FORMATO.png",38908,35,"SAN","mei","Provável",4.8,6.59,0.47,1.82,20,"Santos",NA,NA,13,2,2,24,NA,33,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Anderson Luís de Abreu Oliveira","Anderson","https://s.glbimg.com/es/sde/f/2017/04/24/0dc186897635dc55867be6cf89a3666a_FORMATO.png",38852,35,"COR","mei","Nulo",0,3.25,0,0.06,11,"Coritiba",NA,2,10,3,1,12,NA,27,8,NA,NA,NA,1,NA,NA,1,NA,NA
"67","Anderson Luiz de Carvalho","Nenê","https://s.glbimg.com/es/sde/f/2017/04/24/45951f5edf6777703717a335e5bffc58_FORMATO.png",38913,35,"VAS","mei","Provável",3.6,12.94,0.46,3.56,28,"Vasco",4,5,28,14,21,76,1,125,20,NA,NA,NA,7,5,NA,NA,NA,NA
"68","Diego Ribas da Cunha","Diego","https://s.glbimg.com/es/sde/f/2017/08/16/3ba372d90926f839c71eb2bf7160fc95_FORMATO.jpeg",38909,35,"FLA","mei","Provável",3.2,18.75,-0.61,5.24,24,"Flamengo",2,4,34,12,16,79,NA,97,30,NA,NA,NA,9,8,1,NA,NA,NA
"69","Ricardo de Oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/04f2207e667b88e15a5ccdc893894a1f_FORMATO.png",38910,35,"SAN","ata","Provável",4.7,11.18,0.15,4.18,21,"Santos",NA,2,27,16,19,17,3,23,5,NA,NA,NA,17,8,NA,NA,NA,NA
"70","Paulo César Carpegiani","Carpegiani","https://s.glbimg.com/es/sde/f/2017/10/05/dd2f6056891fcc3e7ed2cfc01432a003_FORMATO.png",39355,35,"BAH","tec","Provável",3.97,12.17,-0.22,5.12,9,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","José Renato da Silva Júnior","Renato","https://s.glbimg.com/es/sde/f/2017/07/25/51728a46f746d0ab5fe9985a3f913559_FORMATO.png",39572,35,"FLU","lat","Nulo",0,4.32,0,1.58,9,"Fluminense",NA,2,12,1,9,7,NA,17,5,2,NA,NA,NA,NA,NA,NA,NA,NA
"72","Kleber Giacomace de Souza Freitas","Kleber","https://s.glbimg.com/es/sde/f/2017/09/05/45c6f808fc644c74001e20c938a4112a_FORMATO.png",40179,35,"COR","ata","Nulo",0.2,10.07,-0.34,2.84,14,"Coritiba",1,2,34,12,9,36,NA,39,5,NA,NA,NA,9,4,NA,1,NA,NA
"73","Jonas Jessué da Silva Júnior","Jonas","https://s.glbimg.com/es/sde/f/2017/04/17/da28ba844b13dd322862abfcda7e77b7_FORMATO.png",39152,35,"BOT","lat","Nulo",0,6,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Alexandro Silva de Souza","Dudu Cearense","https://s.glbimg.com/es/sde/f/2016/06/28/2b7b2415b00931bc7ebe03b683cd03be_FORMATO.jpeg",38928,35,"BOT","mei","Nulo",0,3.14,0,0.67,12,"Botafogo",NA,3,13,1,NA,10,NA,19,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2017/04/23/fa6eb12f4d4fee6467bb3bb75ccc55ce_FORMATO.png",38738,35,"GRE","mei","Contundido",0,14,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Abel Carlos da Silva Braga","Abel Braga","https://s.glbimg.com/es/sde/f/2017/07/26/530dd6d653e00f41f2159828518f0bf3_FORMATO.png",40006,35,"FLU","tec","Provável",0.89,11.48,-0.33,3.09,33,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
