,atletas.foto,atletas.variacao_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.clube_id,atletas.posicao_id,atletas.clube.id.full.name,atletas.rodada_id,atletas.pontos_num,atletas.preco_num,atletas.nome,atletas.status_id,atletas.slug,atletas.media_num,atletas.jogos_num,atletas.apelido_abreviado,atletas.apelido,atletas.minimo_para_valorizar,CA,DS,FC,FF,FS,I,FD,G,SG,DE,GS,A,DP,V,PS,FT,PC,PP,CV,GC
62,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,-1.0,True,71701,265,2,BAH,4,0.0,6.38,Santiago Arias Naranjo,2,santiago-arias,0.6,2,S. Arias,Santiago Arias,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,
63,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.0,False,71709,284,4,GRE,4,0.0,6.0,Gustavo Leonardo Cuellar Gallego,6,cuellar,0.0,0,Cuéllar,Cuéllar,,,,,,,,,,,,,,,,,,,,,
64,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,-1.68,True,72018,284,1,GRE,4,-3.4,5.74,Tiago Luis Volpi,7,tiago-volpi,1.47,4,T. Volpi,Tiago Volpi,,1.0,,,,,,,,,13.0,9.0,,,,,,1.0,,,
65,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0.0,False,72279,2305,1,MIR,4,0.0,2.0,Carlos Eduardo Lecciolle Thomazella,6,thomazella,0.0,0,Thomazella,Thomazella,,,,,,,,,,,,,,,,,,,,,
66,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,-0.75,True,72294,282,1,CAM,4,1.9,9.37,Everson Felipe Marques Pires,7,everson,3.65,4,Everson,Everson,,,,,,,,,,1.0,12.0,6.0,,,,,,,,,
67,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,False,72359,354,3,CEA,4,0.0,4.0,Luiz Otávio Anacleto Leandro,6,luiz-otavio,0.0,0,L. Otávio,Luiz Otávio,,,,,,,,,,,,,,,,,,,,,
68,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,0.11,True,72460,282,4,CAM,4,3.0,5.28,Bernard Anício Caldeira Duarte,6,bernard,1.67,4,Bernard,Bernard,,1.0,5.0,1.0,,1.0,,,,,,,,,,,,,,,
69,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0.0,False,72493,263,2,BOT,4,0.0,10.8,Alex Nicolao Telles,2,alex-telles,4.7,3,A. Telles,Alex Telles,,,2.0,8.0,1.0,3.0,,1.0,,2.0,,,,,,,,,,,
70,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,False,72583,354,5,CEA,4,0.0,7.0,Pedro Henrique Konzen Medina da Silva,5,pedro-henrique,0.0,0,P. Henrique,Pedro Henrique,,,,,,,,,,,,,,,,,,,,,
71,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,0.0,False,72605,282,3,CAM,4,0.0,5.0,Vitor Hugo Franchescoli de Souza,6,vitor-hugo,0.0,0,V. Hugo,Vitor Hugo,,,,,,,,,,,,,,,,,,,,,
