"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FF","FS","PE","RB","G","SG","FD","DD","GS","A","CV","I","FT","GC","PP","DP"
"617","Fabrício Bruno Soares de Faria","Fabrício Bruno","https://s.glbimg.com/es/sde/f/2016/04/29/7faaf4f3b3e2ff7e8f761a1e33e7223c_FORMATO.png",90768,6,"CRU","zag","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"618","Jonathan da Silveira Fernandes Reis","Fernandes","https://s.glbimg.com/es/sde/f/2016/05/20/02861c5449623b3038673b374f31d53e_FORMATO.png",90399,6,"BOT","mei","Nulo",0,9.78,0,5.18,5,NA,6,2,3,17,13,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA
"619","Michel Carlos Gilioli","Caixinha","https://s.glbimg.com/es/sde/f/2016/05/09/30b330fcd4d1abc4cdd04d21895cea03_FORMATO.jpeg",90777,6,"CHA","lat","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"620","Luis Gustavo Francisco Camilo","Luis Gustavo","https://s.glbimg.com/es/sde/f/2016/05/01/bbf0fd6bb6c143ac5b723f5da0261157_FORMATO.png",90764,6,"SPO","zag","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"621","Matheus Martins Fogaça de Paulo ","Matheusinho","https://s.glbimg.com/es/sde/f/2016/01/07/8081123abcdfd8c3dce8254dc4c66622_FORMATO.png",90703,6,"FIG","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"622","Walter Guimarães","Walter Guimarães","https://s.glbimg.com/es/sde/f/2016/05/01/69434d017d491957ec4dac9c8e885c72_FORMATO.png",90942,6,"STC","zag","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"623","Evandro Lima de Oliveira Filho","Evandro","https://s.glbimg.com/es/sde/f/2016/05/13/4b42ff4913c31881ab2b59613f9274cf_FORMATO.png",91001,6,"SPO","lat","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"624","Fábio Carvalho Matos","Fábio","https://s.glbimg.com/es/sde/f/2016/05/01/b3866c797355a02c74cb112a4fbaa9a5_FORMATO.png",93282,6,"SPO","mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"625","Ronaldo de Oliveira Strada","Ronaldo","https://s.glbimg.com/es/sde/f/2016/05/01/d60da59a4893b68e69302b4ad87a3187_FORMATO.png",91101,6,"VIT","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"626","Flávio Medeiros da Silva","Flávio","https://s.glbimg.com/es/sde/f/2016/05/01/593d8fa3c0ada5c40f4e24749bd871d9_FORMATO.png",91102,6,"VIT","mei","Provável",4.3,2.42,1.24,1.23,3,1,2,NA,4,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
