,atletas.posicao_id,atletas.slug,atletas.atleta_id,atletas.preco_num,atletas.foto,atletas.minimo_para_valorizar,atletas.clube.id.full.name,atletas.media_num,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.status_id,atletas.pontos_num,atletas.nome,atletas.variacao_num,atletas.rodada_id,atletas.jogos_num,atletas.apelido,atletas.clube_id,A,DS,FC,FD,FS,FT,V,CA,CV,FF,G,I,SG,DE,GS,PP,PS,PC,GC,DP
60,2,fabio,70172,5.49,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,,Grêmio,3.13,False,Fábio,5,0.0,Fábio Pereira da Silva,0.0,17,7,Fábio,284,,5.0,4.0,,9.0,1.0,,1.0,,2.0,,,2.0,,,,,1.0,,
61,1,gustavo,70216,5.76,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,,Criciúma,3.34,True,Gustavo,7,3.0,Luiz Gustavo de Almeida Pinto,-0.55,17,11,Gustavo,288,,,1.0,,,,,2.0,1.0,,,,2.0,40.0,15.0,,,,,1.0
62,3,bruno-uvini,70221,2.22,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,,Vitória,0.48,True,B. Uvini,6,0.2,Bruno Uvini Bortolança,-0.1,17,6,Bruno Uvini,287,,2.0,2.0,,1.0,,,1.0,,2.0,,,,,,,,,,
63,5,diego-costa,70316,6.25,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,,Grêmio,1.0,False,D. Costa,5,0.0,Diego da Silva Costa,0.0,17,2,Diego Costa,284,,2.0,,1.0,3.0,,,,1.0,,,1.0,,,,,,,,
64,1,marchesin,70332,6.26,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,,Grêmio,3.35,True,Marchesín,7,6.0,Agustín Federico Marchesín,0.59,17,10,Marchesín,284,,,,,1.0,,,1.0,,,,,3.0,29.0,10.0,,,,,
65,5,eduardo-sasha,70360,8.33,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,,Bragantino,4.64,False,E. Sasha,7,0.0,Eduardo Colcenti Antunes,0.0,17,10,Eduardo Sasha,280,3.0,5.0,8.0,8.0,8.0,,,2.0,1.0,4.0,2.0,,,,,,,,,
66,1,gabriel,70449,5.23,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,,Juventude,3.01,False,Gabriel,7,0.0,Gabriel Vasconcelos Ferreira,0.0,17,12,Gabriel,286,,,,,2.0,,,3.0,,,,,3.0,41.0,18.0,,,,,
67,4,felipe-anderson,70592,10.39,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,,Palmeiras,3.8,True,F. Anderson,2,3.8,Felipe Anderson Pereira Gomes,0.39,17,1,Felipe Anderson,275,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
68,3,marllon,70666,4.06,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,,Cuiabá,2.84,False,Marllon,7,0.0,Marllon Gonçalves Jerônimo Borges,0.0,17,12,Marllon,1371,,14.0,10.0,2.0,4.0,,,2.0,,1.0,1.0,,2.0,,,,,1.0,,
69,5,enner-valencia,70788,15.47,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,,Internacional,0.5,False,E. Valencia,5,0.0,Enner Remberto Valencia Lastra,0.0,17,1,Enner Valencia,285,,,,,1.0,,,,,,,,,,,,,,,
