,atletas.minimo_para_valorizar,atletas.posicao_id,atletas.clube_id,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.pontos_num,atletas.variacao_num,atletas.rodada_id,atletas.media_num,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.jogos_num,atletas.entrou_em_campo,atletas.foto,atletas.status_id,atletas.nome,atletas.preco_num,DS,FC,FD,FF,FS,G,I,CA,FT,A,SG,PP,CV,PC,PS,GC,V,DE,GS,DP
67,,3,267,maicon,Maicon,71227,0.0,0.0,37,2.52,Vasco,Maicon,30,False,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,6,Maicon Pereira Roque,4.25,33.0,12.0,1.0,2.0,8.0,1.0,1.0,5.0,,,6.0,,,,,,,,,
68,,4,276,luiz-gustavo,Luiz Gustavo,71536,1.5,-1.35,37,3.51,São Paulo,L. Gustavo,28,True,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,7,Luiz Gustavo Dias,5.27,41.0,34.0,11.0,11.0,27.0,2.0,,3.0,2.0,1.0,,,,,,,,,,
69,,1,275,weverton,Weverton,71631,1.5,-0.89,37,4.97,Palmeiras,Weverton,34,True,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,7,Weverton Pereira da Silva,9.89,1.0,,,,10.0,,,2.0,,1.0,15.0,,,,,,,112.0,27.0,
70,,2,287,raul-caceres,Raúl Cáceres,71680,6.2,-0.12,37,3.76,Vitória,R. Cáceres,22,True,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,7,Raúl Alejandro Cáceres Bogado,6.24,31.0,20.0,,2.0,4.0,,3.0,2.0,,3.0,7.0,,,,,,,,,
71,,3,275,gustavo-gomez,Gustavo Gómez,71684,0.0,0.0,37,4.1,Palmeiras,G. Gómez,24,False,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,7,Gustavo Raúl Gómez Portillo,9.07,26.0,37.0,1.0,13.0,21.0,1.0,7.0,7.0,,2.0,10.0,,,1.0,,1.0,,,,
72,,2,265,santiago-arias,Santiago Arias,71701,0.0,0.0,37,3.8,Bahia,S. Arias,21,False,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,7,Santiago Arias Naranjo,5.75,30.0,22.0,2.0,6.0,20.0,,4.0,2.0,,1.0,7.0,,1.0,1.0,,,,,,
73,,4,266,gabriel-pires,Gabriel Pires,71898,0.0,0.0,37,3.48,Fluminense,G. Pires,5,False,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,6,Gabriel Appelt Pires,5.14,13.0,8.0,1.0,2.0,5.0,,1.0,1.0,,,,,,,,,,,,
74,,1,282,everson,Everson,72294,-1.0,-0.49,37,2.09,Atlético-MG,Everson,22,True,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,7,Everson Felipe Marques Pires,6.61,,1.0,,,5.0,,,5.0,,,6.0,,1.0,,,,,52.0,30.0,
75,,1,266,felipe-alves,Felipe Alves,72372,0.0,0.0,37,0.0,Fluminense,F. Alves,0,False,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,6,Felipe Alves Raymundo,5.0,,,,,,,,,,,,,,,,,,,,
76,,6,283,fernando-diniz,Fernando Diniz,72391,3.53,0.07,37,3.45,Cruzeiro,F. Diniz,20,True,https://s.sde.globo.com/media/person_role/2024/09/23/photo_FORMATO_oIP1uaU.png,7,Fernando Diniz Silva,8.16,,,,,,,,,,,,,,,,,2.0,,,
