,atletas.apelido_abreviado,atletas.pontos_num,atletas.clube_id,atletas.rodada_id,atletas.nome,atletas.slug,atletas.apelido,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.status_id,atletas.jogos_num,atletas.preco_num,atletas.media_num,atletas.foto,atletas.entrou_em_campo,atletas.atleta_id,atletas.clube.id.full.name,A,CA,DS,FC,FD,FF,FS,G,SG,CV,I,PS,V,FT,DE,GS,PC,PP,GC,DP
334,Ferreira,2.2,276,22,Aldemir dos Santos Ferreira,ferreira,Ferreira,5,,-0.28,7,18,8.01,4.46,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nPg7koa.png,True,101290,São Paulo,1.0,4.0,12.0,11.0,5.0,9.0,28.0,5.0,,,1.0,1.0,,,,,,,,
335,Ademir,0.0,265,22,Ademir da Silva Santos Júnior,ademir,Ademir,5,,0.0,5,15,4.23,2.19,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_IWREALz.png,False,101314,Bahia,1.0,,9.0,5.0,2.0,4.0,10.0,1.0,,,2.0,,,,,,,,,
336,Guga,0.0,266,22,Cláudio Rodrigues Gomes,guga,Guga,2,,0.0,6,4,2.9,-0.4,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_k1fivRS.png,False,101319,Fluminense,,3.0,3.0,5.0,,1.0,1.0,,,1.0,,,,,,,,,,
337,D. Boza,10.4,286,22,Danilo Boza Júnior,danilo-boza,Danilo Boza,3,,1.21,6,14,6.91,3.65,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_b7q5w0V.png,True,101431,Juventude,,1.0,8.0,2.0,4.0,6.0,5.0,2.0,3.0,,,,,,,,,,,
338,Pepê,3.6,284,22,João Pedro Vilardi Pinto,pepe,Pepê,4,,0.33,7,12,4.93,2.22,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_eQw4wlK.png,True,101573,Grêmio,,1.0,19.0,15.0,,3.0,20.0,,,1.0,1.0,,,,,,,,,
339,H. Souza,3.0,264,22,Hugo de Souza Nogueira,hugo-souza,Hugo Souza,1,,0.06,7,6,6.99,3.33,https://s.sde.globo.com/media/person_role/2024/07/03/photo_FORMATO.png,True,101574,Corinthians,,2.0,,,,,,,1.0,,,,,,24.0,7.0,,,,
340,H. Moura,-0.9,267,22,Hugo Moura Arruda da Silva,hugo-moura,Hugo Moura,4,,-0.62,7,14,5.04,2.93,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_jLwJb5G.png,True,101594,Vasco,3.0,5.0,26.0,26.0,1.0,6.0,9.0,,,1.0,,,,,,,,,,
341,Ramon,0.0,1371,22,Ramon Ramos Lima,ramon,Ramon,2,,0.0,7,12,5.29,3.72,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_j3eOqDC.png,False,101597,Cuiabá,1.0,6.0,19.0,12.0,2.0,3.0,8.0,1.0,2.0,,2.0,,,,,,,,,
342,C. Vinícius,0.0,287,22,Caio Vinicius da Conceição,caio-vinicius,Caio Vinícius,4,,0.0,5,7,2.14,0.66,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_fCg7WfQ.png,False,101601,Vitória,,5.0,7.0,7.0,,1.0,5.0,,,,,,,,,,,,,
343,Peixoto,0.0,286,22,Daniel Nascimento Peixoto dos Santos,peixoto,Peixoto,4,,0.0,6,2,1.94,0.55,https://s.sde.globo.com/media/person_role/2024/04/28/photo_220x220_WXuSK4t.png,False,101651,Juventude,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
344,Rhaldney,1.3,373,22,Rhaldney Norberto Simião Gomes,rhaldney,Rhaldney,4,,-0.29,7,16,3.32,2.41,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_VWBr2KD.png,True,101666,Atlético-GO,1.0,5.0,28.0,27.0,1.0,1.0,16.0,,,,,,,1.0,,,,,,
345,F. Jonatan,9.6,356,22,Felipe Jonatan Rocha Andrade,felipe-jonatan,Felipe Jonatan,2,,1.14,7,13,7.11,3.94,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_ZDljmkA.png,True,101708,Fortaleza,,,13.0,8.0,2.0,4.0,15.0,,5.0,,,,,,,,,,,
346,Alerrandro,0.8,287,22,Alerrandro Barra Mansa Realino de Souza,alerrandro,Alerrandro,5,,-0.93,2,19,7.06,4.8,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_v6x7rRS.png,True,101715,Vitória,4.0,2.0,19.0,12.0,10.0,7.0,27.0,3.0,,,3.0,,,,,,1.0,,,
347,Railan,1.2,1371,22,Railan Reis Ferreira - Raylan,railan,Railan,2,,0.0,6,9,4.7,3.43,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_glaRaXf.png,True,101726,Cuiabá,2.0,2.0,7.0,6.0,1.0,2.0,7.0,,2.0,,,,,,,,,,,
348,Matheuzinho,0.5,264,22,Matheus França Silva,matheuzinho,Matheuzinho,2,,-0.08,6,19,5.91,3.48,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_Mq6sxK4.png,True,101727,Corinthians,,2.0,31.0,11.0,4.0,4.0,13.0,,4.0,,1.0,,,,,,,,,
349,Claudinho,0.9,288,22,Claudio Coelho Salvático,claudinho,Claudinho,2,,-0.17,7,18,5.61,4.56,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_6lSysiX.png,True,101752,Criciúma,3.0,3.0,30.0,7.0,3.0,3.0,3.0,2.0,2.0,,3.0,,,1.0,,,,,,
350,G. Castilho,0.0,286,22,Guilherme Castilho Carvalho,guilherme-castilho,Guilherme Castilho,4,,0.0,6,0,5.0,0.0,https://s.sde.globo.com/media/person_role/2024/07/27/photo_220x220_DIuSo6v.png,False,101798,Juventude,,,,,,,,,,,,,,,,,,,,
351,Mayk,0.0,284,22,Mayksilvan da Silva Ferreira,mayk,Mayk,2,,0.0,6,3,4.76,3.67,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_i2B5PuQ.png,False,101820,Grêmio,,,5.0,,,,,,1.0,,,,,,,,,,,
352,Vitinho,0.7,280,22,Vitor Hugo Naum dos Santos,vitinho,Vitinho,5,,-0.14,7,17,8.16,3.69,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_fcyTaPY.png,True,101960,Bragantino,2.0,5.0,17.0,20.0,8.0,8.0,11.0,2.0,,,1.0,,,2.0,,,,,,
353,Brítez,5.5,356,22,Emanuel Fermín Brítez,britez,Brítez,3,,0.47,6,16,4.43,3.02,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_HXZBgqO.png,True,101995,Fortaleza,1.0,7.0,20.0,13.0,1.0,5.0,6.0,,5.0,1.0,2.0,,,,,,,,,
354,Piquerez,0.0,275,22,Joaquín Piquerez Moreira,piquerez,Piquerez,2,,0.0,5,16,11.15,6.23,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_loXGEPe.png,False,102130,Palmeiras,,2.0,22.0,10.0,5.0,15.0,19.0,2.0,7.0,,,,,,,,,,,
355,V. Eudes,0.0,266,22,Vitor Eudes de Souza Costa,vitor-eudes,Vitor Eudes,1,,0.0,6,0,1.0,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_SYE5Cts.png,False,102137,Fluminense,,,,,,,,,,,,,,,,,,,,
356,L. Halter,-0.4,263,22,Lucas Halter,lucas-halter,Lucas Halter,3,,-0.45,3,15,5.46,2.68,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_SVv6kJE.png,True,102253,Botafogo,,3.0,10.0,16.0,2.0,5.0,5.0,1.0,4.0,,,,,,,,1.0,,,
357,C. Paulista,0.0,275,22,Caio Fernando de Oliveira,caio-paulista,Caio Paulista,2,,0.0,6,9,4.86,2.41,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_nZ3jBWs.png,False,102318,Palmeiras,,1.0,4.0,2.0,1.0,1.0,3.0,,3.0,,,,,,,,,,,
358,Cacá,0.5,264,22,Carlos de Menezes Júnior,caca,Cacá,3,,-0.17,6,17,7.59,3.58,https://s.sde.globo.com/media/person_role/2024/03/07/photo_FORMATO.png,True,102340,Corinthians,1.0,3.0,14.0,20.0,2.0,11.0,10.0,3.0,3.0,,,,,,,,1.0,,2.0,
359,Araos,0.0,373,22,Ángelo Giovanni Araos Llanos,araos,Araos,4,,0.0,6,0,3.0,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_nBCEEhL.png,False,102352,Atlético-GO,,,,,,,,,,,,,,,,,,,,
360,Mastriani,0.0,293,22,Gonzalo Mathías Mastriani Borges,mastriani,Mastriani,5,,0.0,7,12,8.25,4.96,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_JrvZkOm.png,False,102561,Athlético-PR,,,8.0,8.0,3.0,7.0,5.0,4.0,,,3.0,,,3.0,,,,,,
361,Helinho,11.8,280,22,Hélio Júnio Nunes de Castro,helinho,Helinho,5,,0.55,7,14,10.27,7.19,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_HKFN5Du.png,True,102598,Bragantino,2.0,3.0,14.0,14.0,8.0,12.0,12.0,7.0,,,,,,,,,,,,
362,Thiaguinho,0.0,286,22,Thiago Beserra dos Santos Conti,thiaguinho,Thiaguinho,4,,0.0,7,4,1.94,0.62,https://s.sde.globo.com/media/person_role/2024/04/13/photo_FORMATO_S4nmFGH.png,False,102599,Juventude,,1.0,4.0,6.0,,,3.0,,,,,,,,,,1.0,,,
363,Julimar,1.9,293,22,Julimar Silva Oliveira Júnior,julimar,Julimar,5,,-0.63,6,19,5.14,3.67,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_do5hHhP.png,True,102796,Athlético-PR,1.0,2.0,17.0,19.0,12.0,13.0,7.0,3.0,,,4.0,,,,,,,,,
364,Terans,0.0,266,22,Miguel David Terans Pérez,terans,Terans,4,,0.0,5,7,4.06,0.97,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_hfdtfwn.png,False,102878,Fluminense,,1.0,3.0,5.0,2.0,1.0,5.0,,,,,,,,,,,,,
365,Anderson,0.0,283,22,Anderson Silva da Paixão,anderson,Anderson,1,,0.0,6,15,4.7,3.73,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_pMtI9RP.png,False,102906,Cruzeiro,,1.0,,,,,2.0,,6.0,,,,,,43.0,17.0,,,,
366,M. Teixeira,0.0,288,22,Matheus Henrique Teixeira,matheus-teixeira,Matheus Teixeira,1,,0.0,6,0,3.0,0.0,https://s.sde.globo.com/media/person_role/2024/03/07/photo_FORMATO_udwUldz.png,False,102907,Criciúma,,,,,,,,,,,,,,,,,,,,
367,L. Vinícius,4.5,287,22,Luan Vinícius da Silva Santos,luan-vinicius,Luan Vinícius,4,,0.82,7,15,3.05,1.09,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_Zd7I4CW.png,True,102909,Vitória,,4.0,10.0,15.0,2.0,3.0,10.0,,,,,,,1.0,,,,,,
368,Canobbio,11.5,293,22,Agustín Canobbio Graviz,canobbio,Canobbio,5,,1.53,7,10,10.97,5.19,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xvi8r6q.png,True,102928,Athlético-PR,1.0,1.0,13.0,6.0,3.0,8.0,7.0,3.0,,1.0,4.0,,,,,,,,,
369,Laquintana,0.0,280,22,Ignacio Jesús Laquintana Marsico - Nacho,laquintana,Laquintana,5,,0.0,6,9,3.24,1.41,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_lsx86RT.png,False,103014,Bragantino,,1.0,3.0,6.0,1.0,1.0,4.0,1.0,,,1.0,,,,,,,,,
370,E. Ramires,0.5,280,22,Eric dos Santos Rodrigues,eric-ramires,Eric Ramires,4,,-0.56,6,18,5.94,3.64,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_3VHcc20.png,True,103295,Bragantino,2.0,3.0,16.0,15.0,4.0,10.0,18.0,2.0,,,,,,2.0,,,,,,
371,M. Alexandre,-0.4,1371,22,Matheus Alexandre Anastácio de Souza,matheus-alexandre,Matheus Alexandre,2,,-0.59,7,14,4.9,3.28,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_V7nD4iR.png,True,103347,Cuiabá,,3.0,27.0,14.0,1.0,3.0,4.0,,3.0,,,,,,,,,,,
372,E. Martínez,0.0,356,22,Leandro Emmanuel Martínez,emmanuel-martinez,Emmanuel Martínez,4,,0.0,6,4,6.22,3.3,https://s.sde.globo.com/media/person_role/2024/06/14/photo_FORMATO.png,False,103388,Fortaleza,,2.0,5.0,4.0,1.0,4.0,6.0,,,,,,,1.0,,,,,,
373,K. Jorge,0.4,283,22,Kaio Jorge Pinto Ramos,kaio-jorge,Kaio Jorge,5,,-0.79,7,5,4.76,0.78,https://s.sde.globo.com/media/person_role/2024/06/11/photo_220x220_GXGWlqW.png,True,103445,Cruzeiro,,1.0,3.0,8.0,1.0,2.0,2.0,,,,1.0,,,,,,,,,
374,Ignácio,3.1,266,22,Ignácio da Silva Oliveira,ignacio,Ignácio,3,,0.63,6,1,5.63,3.1,https://s.sde.globo.com/media/person_role/2023/05/05/photo_220x220_86Pw8Ni.png,True,103523,Fluminense,,,2.0,1.0,,,2.0,,,,,,,,,,,,,
375,Caetano,0.0,264,22,João Victor Andrade Caetano,caetano,Caetano,3,,0.0,6,4,3.16,0.05,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_fyit2aL.png,False,103575,Corinthians,,,3.0,3.0,,,1.0,,,1.0,,,,,,,,,,
376,K. Rocha,0.0,293,22,Kaíque Rocha Lima,kaique-rocha,Kaíque Rocha,3,,-0.47,7,19,6.0,3.34,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_1ebxa2m.png,True,103684,Athlético-PR,1.0,2.0,26.0,11.0,1.0,4.0,7.0,,5.0,,,,,,,,,,,
377,J. Silva,0.2,280,22,Jadsom Meemyas de Oliveira da Silva,jadsom-silva,Jadsom Silva,4,,-0.29,3,15,2.34,1.04,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_4l6blnt.png,True,103695,Bragantino,,3.0,20.0,21.0,,3.0,3.0,,,1.0,,,,,,,,,,
378,G. Veron,0.0,283,22,Gabriel Veron Fonseca de Souza,gabriel-veron,Gabriel Veron,5,,0.0,6,15,4.42,3.09,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_Kh2CeQC.png,False,103764,Cruzeiro,1.0,1.0,11.0,7.0,2.0,5.0,2.0,3.0,,,1.0,,,,,,,,,
379,G. Menino,0.0,275,22,Gabriel Vinícius Menino,gabriel-menino,Gabriel Menino,4,,0.0,6,19,5.2,2.82,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_yzWSMvb.png,False,103767,Palmeiras,,5.0,25.0,23.0,6.0,14.0,19.0,1.0,,,4.0,,,,,,,,,
380,H. Meritão,2.5,288,22,Higor Matheus Meritão,higor-meritao,Higor Meritão,4,,-0.73,7,11,3.76,2.78,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_5y8FTJb.png,True,103987,Criciúma,,2.0,9.0,16.0,2.0,6.0,7.0,2.0,,,1.0,,,,,,,,,
381,Sabino,8.8,276,22,José Sabino Chagas Monteiro,sabino,Sabino,3,,2.8,6,1,7.8,8.8,https://s.sde.globo.com/media/person_role/2024/03/15/photo_220x220_8aL4XNH.png,True,104075,São Paulo,,,3.0,1.0,,,1.0,,1.0,,,,,,,,,,,
382,B. Fuchs,0.0,282,22,Bruno de Lara Fuchs,bruno-fuchs,Bruno Fuchs,3,,0.0,7,14,5.7,2.62,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_6xGko1v.png,False,104085,Atlético-MG,1.0,4.0,21.0,14.0,,1.0,8.0,,2.0,1.0,,,,1.0,,,,,,
383,L. Arcanjo,-1.0,287,22,Lucas Willians Assis Arcanjo,lucas-arcanjo,Lucas Arcanjo,1,,-1.17,7,21,3.07,2.14,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_0iYWFXU.png,True,104118,Vitória,,2.0,,,,,6.0,,3.0,,,,,,63.0,34.0,,,,
384,Ruan,0.0,264,22,Ruan de Oliveira Ferreira,ruan,Ruan,4,,0.0,6,0,3.0,0.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_EP2XIGK.png,False,104153,Corinthians,,,,,,,,,,,,,,,,,,,,
385,Raul,0.0,263,22,Raul Jonas Steffens,raul,Raul,1,,0.0,6,0,2.0,0.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_ahcx1NO.png,False,104191,Botafogo,,,,,,,,,,,,,,,,,,,,
386,E. Carioca,-0.3,286,22,Edson Guilherme Mendes dos Santos,edson-carioca,Edson Carioca,5,,-0.45,7,2,2.15,0.9,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Xv4P6TP.png,True,104204,Juventude,,,2.0,2.0,,,,,,,,,,,,,,,,
387,J. Victor,6.2,267,22,João Victor da Silva Marcelino,joao-victor,João Victor,3,,0.86,2,9,5.07,1.8,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_or4O39H.png,True,104250,Vasco,,2.0,11.0,7.0,,2.0,7.0,,1.0,1.0,,,,,,,,,,
388,A. Martins,0.8,373,22,Adriano Martins da Fonseca,adriano-martins,Adriano Martins,3,,0.03,7,18,4.1,2.74,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_JuPF2jd.png,True,104253,Atlético-GO,,5.0,34.0,22.0,4.0,6.0,3.0,,2.0,,2.0,,,,,,1.0,,,
389,J. Lucas,0.0,286,22,João Lucas de Almeida Carvalho,joao-lucas,João Lucas,2,,0.0,6,14,6.07,4.92,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Ey1s4jw.png,False,104257,Juventude,2.0,3.0,22.0,17.0,1.0,5.0,15.0,1.0,4.0,,,,,,,,,,,
390,Dudu,0.0,287,22,Eduardo Marcelo Rodrigues Nunes,dudu,Dudu,4,,0.0,6,5,3.83,2.3,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_6VpYPLs.png,False,104330,Vitória,,3.0,14.0,6.0,,,5.0,,,1.0,,,,,,,,,,
391,M. Mendes,0.0,282,22,Matheus Mendes Werneck de Oliveira,matheus-mendes,Matheus Mendes,1,,0.0,6,10,4.83,3.15,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_xQ2S67t.png,False,104383,Atlético-MG,,,,,,,3.0,,1.0,,,,,,36.0,18.0,,,,1.0
392,I. Gomes,2.6,285,22,Igor Gomes Silva,igor-gomes,Igor Gomes,3,,0.17,7,11,7.05,4.64,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_mxuErJK.png,True,104385,Internacional,1.0,2.0,10.0,7.0,,2.0,7.0,1.0,5.0,,,,,,,,,,,
393,Christian,0.0,293,22,Christian Roberto Alves Cardoso,christian,Christian,4,,0.0,7,14,4.94,2.34,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_4ASqaCm.png,False,104502,Athlético-PR,,3.0,15.0,28.0,3.0,5.0,22.0,1.0,,,4.0,,,,,,,,,
394,I. Jesus,1.2,263,22,Igor Jesus Maciel da Cruz,igor-jesus,Igor Jesus,5,,-1.37,6,6,4.98,3.92,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Scq0Epj.png,True,104528,Botafogo,,1.0,2.0,10.0,6.0,4.0,14.0,1.0,,,3.0,,,,,,,,,
395,Fabrício,0.0,280,22,Fabrício Oliveira de Souza,fabricio,Fabrício,1,,0.0,6,0,0.85,0.0,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vCy6pfa.png,False,104588,Bragantino,,,,,,,,,,,,,,,,,,,,
396,Moisés,10.9,356,22,Moisés Vieira da Veiga,moises,Moisés,5,,1.59,7,11,5.66,2.47,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_bUKbhSF.png,True,104666,Fortaleza,1.0,,5.0,2.0,4.0,4.0,2.0,1.0,,,2.0,,,,,,,,,
397,Newton,2.4,288,22,Newton Araújo da Costa Júnior,newton,Newton,4,,-0.52,7,13,3.5,2.73,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TFHsgGX.png,True,104693,Criciúma,1.0,2.0,17.0,19.0,2.0,3.0,10.0,1.0,,,,,,,,,,,,
398,J. Vojvoda,6.9,356,22,Juan Pablo Vojvoda Rizzo,juan-vojvoda,Juan Vojvoda,6,,0.13,7,20,9.29,5.4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_UIx1Yzg.png,True,104754,Fortaleza,,,,,,,,,,,,,12.0,,,,,,,
399,L. Godoy,0.7,293,22,Leonardo Ezequiel Godoy,leo-godoy,Leo Godoy,2,,0.05,2,16,6.08,2.74,https://s.sde.globo.com/media/person_role/2024/01/19/photo_FORMATO.png,True,104759,Athlético-PR,1.0,3.0,7.0,21.0,,3.0,9.0,1.0,5.0,,1.0,,,,,,,,,
400,Acevedo,0.0,265,22,Nicolás Brian Acevedo Tabárez,acevedo,Acevedo,4,,0.0,5,0,5.0,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_426fnSQ.png,False,104783,Bahia,,,,,,,,,,,,,,,,,,,,
401,Arezo,0.0,284,22,Douglas Matías Arezo Martínez,arezo,Arezo,5,,0.0,6,3,5.11,1.03,https://s.sde.globo.com/media/person_role/2024/07/19/photo_220x220_kYTTzDW.png,False,104849,Grêmio,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,
402,W. Leonardo,1.7,287,22,Wagner Leonardo Calvelo de Souza,wagner-leonardo,Wagner Leonardo,3,,-1.69,7,20,5.03,3.4,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_kfLtGgD.png,True,104994,Vitória,,1.0,18.0,7.0,5.0,5.0,7.0,3.0,3.0,1.0,,,,,,,,,,
403,J. Marcelo,0.0,283,22,João Marcelo Messias Ferreira,joao-marcelo,João Marcelo,3,,0.0,7,18,4.69,3.82,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_s2GXfyO.png,False,105047,Cruzeiro,1.0,6.0,22.0,13.0,3.0,5.0,9.0,,7.0,,1.0,,,,,,,,,
404,Ferraresi,7.4,276,22,Nahuel Adolfo Ferraresi Hernández,ferraresi,Ferraresi,3,,0.53,6,8,7.2,5.48,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_of5ELHS.png,True,105300,São Paulo,,,12.0,5.0,1.0,1.0,2.0,1.0,4.0,,,,,,,,,,,
405,Hurtado,2.3,373,22,Jan Carlos Hurtado Anchico,hurtado,Hurtado,5,,-0.05,6,5,4.16,1.1,https://s.sde.globo.com/media/person_role/2024/07/17/photo_FORMATO.png,True,105301,Atlético-GO,,1.0,3.0,6.0,4.0,,6.0,,,1.0,1.0,,,,,,,,,
406,G. Xavier,5.0,265,22,Gabriel Lheman Xavier - Lhman,gabriel-xavier,Gabriel Xavier,3,,0.33,7,18,5.79,3.28,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_7TSdotN.png,True,105373,Bahia,,2.0,27.0,23.0,4.0,4.0,5.0,,5.0,,,,,,,,,,,
407,M. Bidu,0.0,264,22,Matheus Lima Beltrão Oliveira Valin,matheus-bidu,Matheus Bidu,2,,0.0,6,7,7.19,4.63,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_1Zas2lO.png,False,105531,Corinthians,,,6.0,4.0,1.0,4.0,8.0,1.0,2.0,,,,,,,,,,,
408,Lucero,0.0,356,22,Juan Martín Lucero,lucero,Lucero,5,,0.0,5,16,8.84,4.89,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_W3SXUOe.png,False,105568,Fortaleza,,5.0,5.0,21.0,9.0,11.0,17.0,7.0,,,5.0,,,,,,,,,
409,L. Piton,0.0,267,22,Lucas Piton Crivellaro,lucas-piton,Lucas Piton,2,,0.0,7,16,6.6,4.7,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_hcvXauo.png,False,105584,Vasco,3.0,4.0,31.0,17.0,1.0,5.0,8.0,1.0,3.0,,,,,,,,,,,
410,Roni,0.0,373,22,Roni Medeiros de Moura,roni,Roni,4,,0.0,5,12,3.24,2.14,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_jbubVwk.png,False,105585,Atlético-GO,,2.0,12.0,8.0,2.0,3.0,6.0,1.0,,,,,,,,,,,,
411,Maurício,3.4,275,22,Maurício Magalhães Prado,mauricio,Maurício,4,,0.32,6,11,5.46,1.8,https://s.sde.globo.com/media/person_role/2024/06/28/photo_FORMATO_8WcVxWa.png,True,105647,Palmeiras,,2.0,7.0,6.0,5.0,4.0,12.0,,,,,,,,,,,,,
412,T. Magno,7.4,264,22,Talles Magno Bacelar Martins,talles-magno,Talles Magno,5,,2.04,2,1,9.04,7.4,https://s.sde.globo.com/media/person_role/2024/08/09/photo_FORMATO_x4SLL0W.png,True,105786,Corinthians,,1.0,,2.0,,,2.0,1.0,,,,,,,,,,,,
413,Wesley,12.1,285,22,Wesley Ribeiro Silva,wesley,Wesley,5,,1.08,7,15,11.65,6.85,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_X6kjIiZ.png,True,105811,Internacional,1.0,4.0,18.0,30.0,10.0,15.0,41.0,5.0,,,5.0,2.0,,1.0,,,,,,
414,Edu,0.0,287,22,Lucas Eduardo Ribeiro de Souza,edu,Edu,3,,0.0,6,2,5.09,4.5,https://s.sde.globo.com/media/person_role/2024/07/26/photo_FORMATO_pDdTvaw.png,False,105842,Vitória,,1.0,,,,,,,2.0,,,,,,,,,,,
415,Belezi,0.0,293,22,Lucas Belezi Barbosa,belezi,Belezi,3,,0.0,6,0,2.0,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_G0fv4ti.png,False,105844,Athlético-PR,,,,,,,,,,,,,,,,,,,,
416,M. Araújo,0.0,264,22,Matheus de Araújo Andrade,matheus-araujo,Matheus Araújo,4,,0.0,6,4,2.76,0.43,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_bzn3fop.png,False,105845,Corinthians,,,1.0,,,,1.0,,,,,,,,,,,,,
417,Z. Gabriel,0.0,267,22,José Gabriel dos Santos Silva,ze-gabriel,Zé Gabriel,4,,0.0,6,14,2.51,1.09,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_JGhasXI.png,False,105902,Vasco,,3.0,12.0,13.0,2.0,3.0,6.0,,,,,,,,,,,,,
418,Rômulo,4.2,285,22,Rômulo Zanre Zwarg,romulo,Rômulo,4,,0.71,7,11,3.85,2.03,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_lQJeqYA.png,True,105911,Internacional,,2.0,20.0,20.0,1.0,2.0,7.0,,,,,,,,,,,,,
419,Rochet,1.0,285,22,Sergio Ramón Rochet Álvarez,rochet,Rochet,1,,-0.31,7,9,5.16,2.79,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_1KgmN5n.png,True,105949,Internacional,,2.0,,,,,4.0,,2.0,,,,,,23.0,8.0,,,,
420,Ewerthon,5.3,286,22,Ewerthon Diógenes da Silva,ewerthon,Ewerthon,2,,0.46,7,12,6.01,3.86,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_cNnjyZe.png,True,106082,Juventude,1.0,,10.0,2.0,3.0,6.0,7.0,1.0,2.0,,,,,,,,,,,
