,atletas.slug,atletas.foto,atletas.variacao_num,atletas.pontos_num,atletas.apelido,atletas.atleta_id,atletas.clube_id,atletas.nome,atletas.status_id,atletas.media_num,atletas.preco_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.posicao_id,atletas.apelido_abreviado,atletas.entrou_em_campo,atletas.jogos_num,atletas.minimo_para_valorizar,DS,FC,FD,FF,FS,FT,G,I,CA,A,SG,DE,DP,GS,PC,CV,PP,PS,GC,V
344,vitinho,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_fcyTaPY.png,-0.83,-0.4,Vitinho,101960,280,Vitor Hugo Naum dos Santos,7,4.46,8.7,14,Bragantino,5,Vitinho,True,13,,16.0,18.0,6.0,5.0,10.0,2.0,2.0,1.0,4.0,2.0,,,,,,,,,,
345,britez,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_HXZBgqO.png,0.77,5.3,Brítez,101995,356,Emanuel Fermín Brítez,7,1.51,3.46,14,Fortaleza,3,Brítez,True,10,,8.0,8.0,1.0,3.0,5.0,,,2.0,5.0,,2.0,,,,,1.0,,,,
346,piquerez,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_loXGEPe.png,0.09,6.6,Piquerez,102130,275,Joaquín Piquerez Moreira,7,6.81,11.89,14,Palmeiras,2,Piquerez,True,13,,19.0,9.0,4.0,14.0,17.0,,2.0,,2.0,,6.0,,,,,,,,,
347,vitor-eudes,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_SYE5Cts.png,0.0,0.0,Vitor Eudes,102137,266,Vitor Eudes de Souza Costa,6,0.0,1.0,14,Fluminense,1,V. Eudes,False,0,,,,,,,,,,,,,,,,,,,,,
348,lucas-halter,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_SVv6kJE.png,-0.31,-1.0,Lucas Halter,102253,263,Lucas Halter,7,2.78,5.57,14,Botafogo,3,L. Halter,True,12,,9.0,13.0,1.0,4.0,4.0,,1.0,,2.0,,3.0,,,,1.0,,,,,
349,caio-paulista,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_nZ3jBWs.png,-0.44,1.2,Caio Paulista,102318,275,Caio Fernando de Oliveira,6,1.78,4.89,14,Palmeiras,2,C. Paulista,True,4,,1.0,1.0,1.0,,2.0,,,,1.0,,1.0,,,,,,,,,
350,caca,https://s.sde.globo.com/media/person_role/2024/03/07/photo_FORMATO.png,-0.24,1.1,Cacá,102340,264,Carlos de Menezes Júnior,7,3.69,8.03,14,Corinthians,3,Cacá,True,11,,8.0,10.0,2.0,7.0,8.0,,2.0,,2.0,1.0,2.0,,,,1.0,,,,2.0,
351,araos,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_nBCEEhL.png,0.0,0.0,Araos,102352,373,Ángelo Giovanni Araos Llanos,6,0.0,3.0,14,Atlético-GO,4,Araos,False,0,,,,,,,,,,,,,,,,,,,,,
352,mastriani,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_JrvZkOm.png,0.0,0.0,Mastriani,102561,293,Gonzalo Mathías Mastriani Borges,5,4.95,7.64,14,Athlético-PR,5,Mastriani,False,11,,8.0,8.0,3.0,5.0,4.0,2.0,4.0,3.0,,,,,,,,,,,,
353,helinho,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_HKFN5Du.png,-0.2,8.3,Helinho,102598,280,Hélio Júnio Nunes de Castro,3,7.11,9.54,14,Bragantino,5,Helinho,True,10,,9.0,10.0,3.0,9.0,11.0,,5.0,,3.0,2.0,,,,,,,,,,
354,thiaguinho,https://s.sde.globo.com/media/person_role/2024/04/13/photo_FORMATO_S4nmFGH.png,0.0,0.0,Thiaguinho,102599,286,Thiago Beserra dos Santos Conti,6,-0.1,1.31,14,Juventude,4,Thiaguinho,False,3,,1.0,5.0,,,2.0,,,,,,,,,,1.0,,,,,
355,julimar,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_do5hHhP.png,-1.35,1.4,Julimar,102796,293,Julimar Silva Oliveira Júnior,7,2.91,4.55,14,Athlético-PR,5,Julimar,True,13,,12.0,12.0,7.0,6.0,4.0,,1.0,2.0,1.0,1.0,,,,,,,,,,
356,terans,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_hfdtfwn.png,0.0,0.0,Terans,102878,266,Miguel David Terans Pérez,5,0.97,4.06,14,Fluminense,4,Terans,False,7,,3.0,5.0,2.0,1.0,5.0,,,,1.0,,,,,,,,,,,
357,anderson,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_pMtI9RP.png,0.68,4.0,Anderson,102906,283,Anderson Silva da Paixão,7,3.15,3.73,14,Cruzeiro,1,Anderson,True,13,,,,,,2.0,,,,1.0,,4.0,38.0,,17.0,,,,,,
358,matheus-teixeira,https://s.sde.globo.com/media/person_role/2024/03/07/photo_FORMATO_udwUldz.png,0.0,0.0,Matheus Teixeira,102907,288,Matheus Henrique Teixeira,6,0.0,3.0,14,Criciúma,1,M. Teixeira,False,0,,,,,,,,,,,,,,,,,,,,,
359,luan-vinicius,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_Zd7I4CW.png,0.66,5.3,Luan Vinícius,102909,287,Luan Vinícius da Silva Santos,7,1.18,3.32,14,Vitória,4,L. Vinícius,True,10,,5.0,8.0,1.0,3.0,7.0,1.0,,,2.0,,,,,,,,,,,
360,canobbio,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xvi8r6q.png,0.0,0.0,Canobbio,102928,293,Agustín Canobbio Graviz,6,5.48,10.2,14,Athlético-PR,5,Canobbio,False,6,,7.0,6.0,1.0,6.0,5.0,,2.0,2.0,,1.0,,,,,,1.0,,,,
361,laquintana,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_lsx86RT.png,0.0,0.0,Laquintana,103014,280,Ignacio Jesús Laquintana Marsico - Nacho,6,1.49,3.33,14,Bragantino,5,Laquintana,False,8,,2.0,2.0,1.0,,4.0,,1.0,1.0,1.0,,,,,,,,,,,
362,eric-ramires,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_3VHcc20.png,0.0,0.0,Eric Ramires,103295,280,Eric dos Santos Rodrigues,6,4.06,7.2,14,Bragantino,4,E. Ramires,False,13,,11.0,13.0,4.0,9.0,11.0,1.0,2.0,,3.0,2.0,,,,,,,,,,
363,matheus-alexandre,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_V7nD4iR.png,-0.36,1.2,Matheus Alexandre,103347,1371,Matheus Alexandre Anastácio de Souza,2,3.92,5.41,14,Cuiabá,2,M. Alexandre,True,10,,21.0,11.0,1.0,2.0,3.0,,,,2.0,,3.0,,,,,,,,,
364,emmanuel-martinez,https://s.sde.globo.com/media/person_role/2024/06/14/photo_FORMATO.png,0.0,0.0,Emmanuel Martínez,103388,356,Leandro Emmanuel Martínez,6,3.3,6.22,14,Fortaleza,4,E. Martínez,False,4,,5.0,4.0,1.0,4.0,6.0,1.0,,,2.0,,,,,,,,,,,
365,kaio-jorge,https://s.sde.globo.com/media/person_role/2024/06/11/photo_220x220_GXGWlqW.png,0.0,0.0,Kaio Jorge,103445,283,Kaio Jorge Pinto Ramos,6,0.0,8.0,14,Cruzeiro,5,K. Jorge,False,0,,,,,,,,,,,,,,,,,,,,,
366,caetano,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_fyit2aL.png,0.0,0.0,Caetano,103575,264,João Victor Andrade Caetano,6,0.05,3.16,14,Corinthians,3,Caetano,False,4,,3.0,3.0,,,1.0,,,,,,,,,,,1.0,,,,
367,rafael-bilu,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_rDWVVAO.png,0.0,0.0,Rafael Bilu,103576,283,Rafael Bilu Mudesto,6,0.0,2.0,14,Cruzeiro,5,R. Bilu,False,0,,,,,,,,,,,,,,,,,,,,,
368,kaique-rocha,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_1ebxa2m.png,-1.63,0.7,Kaíque Rocha,103684,293,Kaíque Rocha Lima,7,4.19,6.64,14,Athlético-PR,3,K. Rocha,True,14,,20.0,7.0,1.0,4.0,7.0,,,,1.0,1.0,5.0,,,,,,,,,
369,jadsom-silva,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_4l6blnt.png,-0.38,-0.9,Jadsom Silva,103695,280,Jadsom Meemyas de Oliveira da Silva,6,1.03,2.25,14,Bragantino,4,J. Silva,True,13,,16.0,14.0,,3.0,2.0,,,,2.0,,,,,,,1.0,,,,
370,gabriel-veron,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_Kh2CeQC.png,-0.39,0.0,Gabriel Veron,103764,283,Gabriel Veron Fonseca de Souza,7,2.44,3.94,14,Cruzeiro,5,G. Veron,True,12,,7.0,3.0,2.0,5.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,
371,gabriel-menino,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_yzWSMvb.png,0.0,0.0,Gabriel Menino,103767,275,Gabriel Vinícius Menino,6,2.24,4.89,14,Palmeiras,4,G. Menino,False,12,,14.0,19.0,5.0,9.0,12.0,,,4.0,3.0,,,,,,,,,,,
372,higor-meritao,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_5y8FTJb.png,-0.17,0.0,Higor Meritão,103987,288,Higor Matheus Meritão,6,2.18,3.05,14,Criciúma,4,H. Meritão,True,8,,7.0,8.0,2.0,2.0,3.0,,1.0,1.0,2.0,,,,,,,,,,,
373,sabino,https://s.sde.globo.com/media/person_role/2024/03/15/photo_220x220_8aL4XNH.png,0.0,0.0,Sabino,104075,276,José Sabino Chagas Monteiro,6,0.0,5.0,14,São Paulo,3,Sabino,False,0,,,,,,,,,,,,,,,,,,,,,
374,carlos-miguel,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_2FClDmd.png,0.0,0.0,Carlos Miguel,104084,264,Carlos Miguel dos Santos Pereira,6,4.42,6.85,14,Corinthians,1,C. Miguel,False,6,,,,,,1.0,,,,3.0,,2.0,25.0,,7.0,,,,,,
375,bruno-fuchs,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_6xGko1v.png,0.04,2.6,Bruno Fuchs,104085,282,Bruno de Lara Fuchs,7,1.86,4.57,14,Atlético-MG,3,B. Fuchs,True,8,,13.0,9.0,,,6.0,,,,3.0,,1.0,,,,,1.0,,,,
376,lucas-arcanjo,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_0iYWFXU.png,-0.47,-1.0,Lucas Arcanjo,104118,287,Lucas Willians Assis Arcanjo,7,2.15,3.07,14,Vitória,1,L. Arcanjo,True,13,,,,,,2.0,,,,1.0,,1.0,46.0,,23.0,,,,,,
377,ruan,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_EP2XIGK.png,0.0,0.0,Ruan,104153,264,Ruan de Oliveira Ferreira,6,0.0,3.0,14,Corinthians,4,Ruan,False,0,,,,,,,,,,,,,,,,,,,,,
378,raul,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_ahcx1NO.png,0.0,0.0,Raul,104191,263,Raul Jonas Steffens,6,0.0,2.0,14,Botafogo,1,Raul,False,0,,,,,,,,,,,,,,,,,,,,,
379,edson-carioca,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Xv4P6TP.png,0.0,0.0,Edson Carioca,104204,286,Edson Guilherme Mendes dos Santos,5,0.0,2.0,14,Juventude,5,E. Carioca,False,0,,,,,,,,,,,,,,,,,,,,,
380,joao-victor,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_or4O39H.png,0.0,0.0,João Victor,104250,267,João Victor da Silva Marcelino,5,1.25,4.21,14,Vasco,3,J. Victor,False,8,,10.0,7.0,,2.0,7.0,,,,2.0,,,,,,,1.0,,,,
381,adriano-martins,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_JuPF2jd.png,0.4,4.8,Adriano Martins,104253,373,Adriano Martins da Fonseca,7,3.14,4.66,14,Atlético-GO,3,A. Martins,True,10,,17.0,8.0,3.0,3.0,1.0,,,2.0,3.0,,2.0,,,,,,,,,
382,joao-lucas,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Ey1s4jw.png,-0.52,2.5,João Lucas,104257,286,João Lucas de Almeida Carvalho,7,4.04,5.73,14,Juventude,2,J. Lucas,True,11,,19.0,15.0,1.0,5.0,14.0,,,,1.0,1.0,2.0,,,,,,,,,
383,calegari,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_YfMFo2m.png,0.0,0.0,Calegari,104276,266,Lucas Felipe Calegari,6,1.75,3.5,14,Fluminense,2,Calegari,False,2,,3.0,2.0,,,3.0,,,,,,,,,,1.0,,,,,
384,dudu,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_6VpYPLs.png,-0.65,-1.3,Dudu,104330,287,Eduardo Marcelo Rodrigues Nunes,3,2.3,3.83,14,Vitória,4,Dudu,True,5,,14.0,6.0,,,5.0,,,,3.0,,,,,,,1.0,,,,
385,matheus-mendes,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_xQ2S67t.png,-0.68,0.0,Matheus Mendes,104383,282,Matheus Mendes Werneck de Oliveira,7,4.0,4.98,14,Atlético-MG,1,M. Mendes,True,4,,,,,,2.0,,,,,,,18.0,1.0,10.0,,,,,,
386,igor-gomes,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_mxuErJK.png,1.62,10.1,Igor Gomes,104385,285,Igor Gomes Silva,7,6.46,8.72,14,Internacional,3,I. Gomes,True,7,,5.0,3.0,,2.0,3.0,,1.0,,1.0,1.0,5.0,,,,,,,,,
387,christian,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_4ASqaCm.png,-0.22,0.1,Christian,104502,293,Christian Roberto Alves Cardoso,7,2.69,5.07,14,Athlético-PR,4,Christian,True,10,,13.0,22.0,3.0,2.0,14.0,,1.0,3.0,2.0,,,,,,,,,,,
388,fabricio,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vCy6pfa.png,0.0,0.0,Fabrício,104588,280,Fabrício Oliveira de Souza,6,0.0,0.85,14,Bragantino,1,Fabrício,False,0,,,,,,,,,,,,,,,,,,,,,
389,moises,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_bUKbhSF.png,0.0,0.0,Moisés,104666,356,Moisés Vieira da Veiga,5,1.28,4.38,14,Fortaleza,5,Moisés,False,6,,,,4.0,3.0,1.0,,,,,,,,,,,,,,,
390,newton,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TFHsgGX.png,0.02,2.4,Newton,104693,288,Newton Araújo da Costa Júnior,7,2.87,3.26,14,Criciúma,4,Newton,True,6,,5.0,6.0,2.0,2.0,4.0,,1.0,,1.0,,,,,,,,,,,
391,juan-vojvoda,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_UIx1Yzg.png,-0.28,4.05,Juan Vojvoda,104754,356,Juan Pablo Vojvoda Rizzo,7,4.81,8.65,14,Fortaleza,6,J. Vojvoda,True,13,,,,,,,,,,,,,,,,,,,,,5.0
392,leo-godoy,https://s.sde.globo.com/media/person_role/2024/01/19/photo_FORMATO.png,0.21,5.9,Leo Godoy,104759,293,Leonardo Ezequiel Godoy,7,3.85,7.54,14,Athlético-PR,2,L. Godoy,True,11,,6.0,19.0,,3.0,5.0,,1.0,1.0,2.0,1.0,5.0,,,,,,,,,
393,acevedo,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_426fnSQ.png,0.0,0.0,Acevedo,104783,265,Nicolás Brian Acevedo Tabárez,5,0.0,5.0,14,Bahia,4,Acevedo,False,0,,,,,,,,,,,,,,,,,,,,,
394,wagner-leonardo,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_kfLtGgD.png,-0.45,0.2,Wagner Leonardo,104994,287,Wagner Leonardo Calvelo de Souza,7,2.79,4.48,14,Vitória,3,W. Leonardo,True,12,,8.0,5.0,4.0,2.0,4.0,,2.0,,1.0,,1.0,,,,,1.0,,,,
395,joao-marcelo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_s2GXfyO.png,0.36,2.1,João Marcelo,105047,283,João Marcelo Messias Ferreira,3,3.48,4.5,14,Cruzeiro,3,J. Marcelo,True,13,,15.0,8.0,2.0,2.0,7.0,,,1.0,3.0,1.0,4.0,,,,,,,,,
396,bento,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_CEULB4Y.png,0.0,0.0,Bento,105208,293,Bento Matheus Krepski,6,6.29,10.15,14,Athlético-PR,1,Bento,False,7,,,,,,,,,,1.0,,4.0,23.0,1.0,4.0,1.0,,,,,
397,ferraresi,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_of5ELHS.png,0.0,0.0,Ferraresi,105300,276,Nahuel Adolfo Ferraresi Hernández,6,4.47,5.97,14,São Paulo,3,Ferraresi,False,4,,4.0,4.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,
398,gabriel-xavier,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_7TSdotN.png,1.04,8.0,Gabriel Xavier,105373,265,Gabriel Lheman Xavier - Lhman,7,3.55,6.31,14,Bahia,3,G. Xavier,True,12,,17.0,18.0,4.0,4.0,3.0,,,,2.0,,4.0,,,,,,,,,
399,matheus-bidu,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_1Zas2lO.png,0.0,0.0,Matheus Bidu,105531,264,Matheus Lima Beltrão Oliveira Valin,6,5.43,6.96,14,Corinthians,2,M. Bidu,False,4,,4.0,3.0,1.0,2.0,4.0,,1.0,,,,1.0,,,,,,,,,
400,rikelme,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_GWnqoHo.png,0.0,0.0,Rikelme,105547,1371,Rikelme Hernandes Amorim Rocha,2,3.72,6.11,14,Cuiabá,2,Rikelme,False,7,,8.0,4.0,1.0,,3.0,,,1.0,,,3.0,,,,,,,,,
401,lucero,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_W3SXUOe.png,-1.08,1.2,Lucero,105568,356,Juan Martín Lucero,7,4.49,8.8,14,Fortaleza,5,Lucero,True,11,,2.0,16.0,6.0,6.0,8.0,,5.0,2.0,4.0,,,,,,,,,,,
402,lucas-piton,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_hcvXauo.png,0.08,8.1,Lucas Piton,105584,267,Lucas Piton Crivellaro,3,3.95,7.04,14,Vasco,2,L. Piton,True,12,,23.0,14.0,,5.0,6.0,,,,3.0,3.0,1.0,,,,,,,,,
403,roni,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_jbubVwk.png,0.48,5.0,Roni,105585,373,Roni Medeiros de Moura,7,1.73,3.37,14,Atlético-GO,4,Roni,True,6,,8.0,5.0,1.0,2.0,3.0,,,,2.0,,,,,,,,,,,
404,mauricio,https://s.sde.globo.com/media/person_role/2024/06/28/photo_FORMATO_8WcVxWa.png,0.0,0.0,Maurício,105647,275,Maurício Magalhães Prado,6,2.56,6.27,14,Palmeiras,4,Maurício,False,5,,6.0,4.0,2.0,3.0,6.0,,,,1.0,,,,,,,,,,,
405,wesley,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_X6kjIiZ.png,0.0,0.0,Wesley,105811,285,Wesley Ribeiro Silva,6,7.96,10.93,14,Internacional,5,Wesley,False,10,,14.0,22.0,6.0,12.0,28.0,1.0,4.0,5.0,3.0,1.0,,,,,,,,2.0,,
406,belezi,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_G0fv4ti.png,0.0,0.0,Belezi,105844,293,Lucas Belezi Barbosa,6,0.0,2.0,14,Athlético-PR,3,Belezi,False,0,,,,,,,,,,,,,,,,,,,,,
407,matheus-araujo,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_bzn3fop.png,-0.52,0.0,Matheus Araújo,105845,264,Matheus de Araújo Andrade,6,0.4,3.0,14,Corinthians,4,M. Araújo,True,3,,1.0,,,,,,,,,,,,,,,,,,,
408,ze-gabriel,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_JGhasXI.png,-0.02,1.2,Zé Gabriel,105902,267,José Gabriel dos Santos Silva,7,1.38,2.74,14,Vasco,4,Z. Gabriel,True,9,,10.0,13.0,2.0,3.0,5.0,,,,3.0,,,,,,,,,,,
409,romulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_lQJeqYA.png,0.53,3.5,Rômulo,105911,285,Rômulo Zanre Zwarg,7,2.27,3.9,14,Internacional,4,Rômulo,True,6,,11.0,11.0,1.0,,7.0,,,,1.0,,,,,,,,,,,
410,rochet,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_1KgmN5n.png,0.0,0.0,Rochet,105949,285,Sergio Ramón Rochet Álvarez,6,4.0,6.62,14,Internacional,1,Rochet,False,5,,,,,,4.0,,,,1.0,,2.0,12.0,,3.0,,,,,,
411,ewerthon,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_cNnjyZe.png,-0.73,2.5,Ewerthon,106082,286,Ewerthon Diógenes da Silva,6,4.84,5.76,14,Juventude,2,Ewerthon,True,5,,3.0,1.0,2.0,5.0,3.0,,1.0,,,1.0,,,,,,,,,,
412,thiago-carpini,https://s.sde.globo.com/media/person_role/2024/05/14/photo_FORMATO_IgX32oN.png,0.3,4.45,Thiago Carpini,106147,287,Thiago Carpini Barbosa,7,4.38,7.8,14,Vitória,6,T. Carpini,True,10,,,,,,,,,,,,,,,,,,,,,3.0
413,lucao,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_wvc5kfv.png,0.0,0.0,Lucão,106160,280,Lucas Alexandre Galdino de Azevedo,6,1.33,3.01,14,Bragantino,1,Lucão,False,3,,,,,,,,,,,,,8.0,,4.0,,,,,,
414,bruno-gomes,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_sq3mb5j.png,0.74,4.7,Bruno Gomes,106202,285,Bruno Gomes da Silva Clevelário,6,0.7,2.8,14,Internacional,4,B. Gomes,True,5,,2.0,4.0,,1.0,5.0,,,,1.0,,,,,,,,,,,
415,realpe,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_csUs5UL.png,0.0,0.0,Realpe,106299,280,Leonardo Javier Realpe Montaño,6,0.0,4.0,14,Bragantino,3,Realpe,False,0,,,,,,,,,,,,,,,,,,,,,
416,caio-alexandre,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_jiBs4Bk.png,-0.11,1.7,Caio Alexandre,106323,265,Caio Alexandre Souza e Silva,7,2.66,5.52,14,Bahia,4,C. Alexandre,True,13,,14.0,12.0,1.0,1.0,25.0,,1.0,2.0,1.0,,,,,,,,,,,
417,wesley-gasolina,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_p7fftOF.png,0.0,0.0,Wesley Gasolina,106327,283,Wesley David de Oliveira Andrade,6,5.5,3.92,14,Cruzeiro,2,W. Gasolina,False,1,,,,,,1.0,,,,,,1.0,,,,,,,,,
418,jhonata-robert,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_N5NG9cx.png,0.0,0.0,Jhonata Robert,106371,284,Jhonata Robert Alves da Silva,6,0.0,2.0,14,Grêmio,5,J. Robert,False,0,,,,,,,,,,,,,,,,,,,,,
419,eduardo-santos,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_wPSGjby.png,0.0,0.0,Eduardo Santos,106434,280,Eduardo Gonzaga Mendes Santos,6,1.72,3.5,14,Bragantino,3,E. Santos,False,8,,6.0,2.0,,2.0,3.0,,,,1.0,,1.0,,,,,,,,,
420,villalba,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_mqCHNug.png,0.0,0.0,Villalba,106593,283,Lucas Hernán Villalba,6,1.88,4.07,14,Cruzeiro,3,Villalba,False,5,,,2.0,,,,,,,,,2.0,,,,,,,,,
421,carlos-alberto,https://s.sde.globo.com/media/person_role/2023/03/07/photo_220x220_DgukYrK.png,0.0,0.0,Carlos Alberto,106704,263,Carlos Alberto Gomes da Silva Filho,6,0.0,5.0,14,Botafogo,5,C. Alberto,False,0,,,,,,,,,,,,,,,,,,,,,
422,rodrigo-nestor,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_LPbAkh9.png,-0.83,1.1,Rodrigo Nestor,106822,276,Rodrigo Nestor Bertalia,7,2.06,4.76,14,São Paulo,4,R. Nestor,True,10,,3.0,5.0,6.0,2.0,4.0,,,2.0,2.0,2.0,,,,,,,,,,
423,welington,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_Z3aNUXx.png,-0.33,-0.3,Welington,106824,276,Welington Damascena Santos,7,4.69,7.46,14,São Paulo,2,Welington,True,12,,20.0,9.0,1.0,4.0,13.0,,,,1.0,1.0,4.0,,,,,,,,,
424,patryck,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_mCvHWjt.png,-0.15,0.5,Patryck,106829,276,Patryck Lanza dos Reis,6,0.82,2.2,14,São Paulo,2,Patryck,True,4,,3.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,
425,juan,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_uPYz8tk.png,0.0,1.4,Juan,106831,276,Juan Santos da Silva,6,1.67,3.27,14,São Paulo,5,Juan,True,8,,3.0,4.0,1.0,1.0,2.0,1.0,,,,1.0,,,,,,,,,,
426,luan-patrick,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_AUtEehU.png,0.0,0.0,Luan Patrick,106835,293,Luan Patrick Wiedthauper,6,0.0,5.0,14,Athlético-PR,3,L. Patrick,False,0,,,,,,,,,,,,,,,,,,,,,
427,clayton,https://s.sde.globo.com/media/person_role/2024/03/12/photo_220x220_tVZpibR.png,0.0,0.0,Clayton,106931,267,Clayton Fernandes Silva,6,0.95,3.15,14,Vasco,5,Clayton,False,6,,2.0,7.0,1.0,5.0,1.0,,,3.0,,,,,,,,,,,,
428,fernando,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qx7ZU51.png,0.0,0.0,Fernando,106950,293,Fernando Augusto Pereira Bueno Júnior,6,2.53,4.92,14,Athlético-PR,2,Fernando,False,3,,2.0,2.0,,1.0,,,,,,,1.0,,,,,,,,,
429,luciano-juba,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_rR1yZyw.png,0.6,5.0,Luciano Juba,107093,265,Luciano Batista da Silva Júnior,7,3.27,5.9,14,Bahia,2,L. Juba,True,13,,11.0,2.0,1.0,1.0,6.0,,,,,1.0,4.0,,,,,,,,,
430,richard-rios,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_PkMn7XO.png,0.0,0.0,Richard Ríos,107111,275,Richard Ríos Montoya,6,3.83,7.37,14,Palmeiras,4,R. Ríos,False,7,,11.0,8.0,,2.0,9.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
431,jeffinho,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_jfNtXEg.png,0.0,0.0,Jeffinho,107170,263,Jefferson Ruan Pereira dos Santos,5,3.92,6.73,14,Botafogo,5,Jeffinho,False,6,,3.0,7.0,4.0,4.0,6.0,,1.0,,2.0,1.0,,,,,,,,,,
