,atletas.atleta_id,atletas.foto,atletas.pontos_num,atletas.clube_id,atletas.clube.id.full.name,atletas.slug,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.nome,atletas.preco_num,atletas.status_id,atletas.entrou_em_campo,atletas.apelido,atletas.rodada_id,atletas.variacao_num,atletas.apelido_abreviado,atletas.media_num,atletas.posicao_id,A,CA,DS,FC,FD,FF,FS,FT,G,I,PP,CV,SG,PC,PS,GC,DE,GS,V,DP
67,71227,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,0.0,267,Vasco,maicon,,29,Maicon Pereira Roque,4.14,6,False,Maicon,34,0.0,Maicon,2.55,3,,5.0,32.0,12.0,1.0,2.0,7.0,,1.0,1.0,,,6.0,,,,,,,
68,71536,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,9.3,276,São Paulo,luiz-gustavo,,25,Luiz Gustavo Dias,6.01,7,True,Luiz Gustavo,34,1.11,L. Gustavo,3.2,4,1.0,3.0,37.0,33.0,10.0,11.0,24.0,1.0,1.0,,,,,,,,,,,
69,71631,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,3.0,275,Palmeiras,weverton,,32,Weverton Pereira da Silva,10.07,7,True,Weverton,34,0.38,Weverton,5.0,1,1.0,2.0,1.0,,,,8.0,,,,,,14.0,,,,108.0,26.0,,
70,71680,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,4.7,287,Vitória,raul-caceres,,19,Raúl Alejandro Cáceres Bogado,5.92,7,True,Raúl Cáceres,34,0.56,R. Cáceres,3.63,2,2.0,2.0,28.0,20.0,,2.0,4.0,,,3.0,,,6.0,,,,,,,
71,71684,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,1.0,275,Palmeiras,gustavo-gomez,,23,Gustavo Raúl Gómez Portillo,8.15,7,True,Gustavo Gómez,34,-0.29,G. Gómez,3.97,3,2.0,7.0,25.0,37.0,1.0,13.0,19.0,,1.0,7.0,,,9.0,1.0,,1.0,,,,
72,71701,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,0.0,265,Bahia,santiago-arias,,20,Santiago Arias Naranjo,6.14,7,False,Santiago Arias,34,0.0,S. Arias,3.99,2,1.0,2.0,30.0,22.0,2.0,6.0,20.0,,,4.0,,1.0,7.0,1.0,,,,,,
73,71898,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,0.0,266,Fluminense,gabriel-pires,,5,Gabriel Appelt Pires,5.14,6,False,Gabriel Pires,34,0.0,G. Pires,3.48,4,,1.0,13.0,8.0,1.0,2.0,5.0,,,1.0,,,,,,,,,,
74,72294,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,9.0,282,Atlético-MG,everson,,20,Everson Felipe Marques Pires,8.03,7,True,Everson,34,1.09,Everson,2.28,1,,5.0,,1.0,,,4.0,,,,,1.0,6.0,,,,48.0,26.0,,
75,72372,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,0.0,266,Fluminense,felipe-alves,,0,Felipe Alves Raymundo,5.0,6,False,Felipe Alves,34,0.0,F. Alves,0.0,1,,,,,,,,,,,,,,,,,,,,
76,72391,https://s.sde.globo.com/media/person_role/2024/09/23/photo_FORMATO_oIP1uaU.png,3.0,283,Cruzeiro,fernando-diniz,,17,Fernando Diniz Silva,8.21,7,True,Fernando Diniz,34,-0.43,F. Diniz,3.52,6,,,,,,,,,,,,,,,,,,,2.0,
