,atletas.slug,atletas.posicao_id,atletas.rodada_id,atletas.entrou_em_campo,atletas.clube_id,atletas.atleta_id,atletas.media_num,atletas.apelido,atletas.clube.id.full.name,atletas.pontos_num,atletas.status_id,atletas.variacao_num,atletas.foto,atletas.apelido_abreviado,atletas.preco_num,atletas.nome,atletas.minimo_para_valorizar,atletas.jogos_num,CA,DS,FC,FD,FF,FS,SG,V,G,I,CV,A,FT,PS,DE,GS,PP,PC,DP,GC
66,pedro-henrique,3,38,True,373,71038,2.45,Pedro Henrique,Atlético-GO,0.0,6,-0.11,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,P. Henrique,3.6,Pedro Henrique Pereira da Silva,,11,3.0,11.0,9.0,2.0,,4.0,3.0,,,,,,,,,,,,,
67,maicon,3,38,False,267,71227,2.52,Maicon,Vasco,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,Maicon,4.25,Maicon Pereira Roque,,30,5.0,33.0,12.0,1.0,2.0,8.0,6.0,,1.0,1.0,,,,,,,,,,
68,luiz-gustavo,4,38,False,276,71536,3.51,Luiz Gustavo,São Paulo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,L. Gustavo,5.27,Luiz Gustavo Dias,,28,3.0,41.0,34.0,11.0,11.0,27.0,,,2.0,,,1.0,2.0,,,,,,,
69,weverton,1,38,True,275,71631,4.91,Weverton,Palmeiras,3.0,7,0.14,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,Weverton,10.03,Weverton Pereira da Silva,,35,2.0,1.0,,,,10.0,15.0,,,,,1.0,,,116.0,28.0,,,,
70,raul-caceres,2,38,True,287,71680,3.64,Raúl Cáceres,Vitória,0.9,7,-0.71,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,R. Cáceres,5.53,Raúl Alejandro Cáceres Bogado,,23,2.0,32.0,21.0,,2.0,4.0,7.0,,,3.0,,3.0,,,,,,,,
71,gustavo-gomez,3,38,True,275,71684,3.99,Gustavo Gómez,Palmeiras,1.4,7,-0.85,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,G. Gómez,8.22,Gustavo Raúl Gómez Portillo,,25,7.0,28.0,40.0,1.0,13.0,21.0,10.0,,1.0,8.0,,2.0,,,,,,1.0,,1.0
72,santiago-arias,2,38,False,265,71701,3.8,Santiago Arias,Bahia,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,S. Arias,5.75,Santiago Arias Naranjo,,21,2.0,30.0,22.0,2.0,6.0,20.0,7.0,,,4.0,1.0,1.0,,,,,,1.0,,
73,gabriel-pires,4,38,False,266,71898,3.48,Gabriel Pires,Fluminense,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,G. Pires,5.14,Gabriel Appelt Pires,,5,1.0,13.0,8.0,1.0,2.0,5.0,,,,1.0,,,,,,,,,,
74,everson,1,38,True,282,72294,2.3,Everson,Atlético-MG,7.0,7,1.07,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,Everson,7.68,Everson Felipe Marques Pires,,23,6.0,,1.0,,,5.0,7.0,,,,1.0,,,,55.0,30.0,,,,
75,felipe-alves,1,38,False,266,72372,0.0,Felipe Alves,Fluminense,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,F. Alves,5.0,Felipe Alves Raymundo,,0,,,,,,,,,,,,,,,,,,,,
